Cedar Creek Ecosystem Science Reserve Dataset: ple244

Cedar Creek Ecosystem Science Reserve
2660 Fawn Lake Dr. NE
Bethel, MN 55005
Office:  763-434-5131
Fax:  763-434-7361

_________________________________________________________________________

USER AGREEMENT:  As a condition for access to data provided by researchers of the Cedar Creek LTER, I agree to abide by the following code of ethics.

A. I agree to notify the Cedar Creek LTER scientists who gathered data if I would like to use those data in any publication. I acknowledge that these data were gathered by Cedar Creek scientists because they had already perceived the importance of these data for a variety of scientific and societal issues. I will provide them with formal recognition that, at their discretion, may include co-authorship or acknowledgements on publications.

B. I realize that the researchers who gathered these data may be using them for scientific analyses, papers or publications that are currently planned or in preparation, and that such activities have precedence over any that I might wish to prepare. In this case, my preparation of any work may be delayed, at the option of the Cedar Creek researchers involved, until their work is completed.

C. Because it may be possible to misinterpret a data set if it is taken out of context, I will seek the assistance and opinion of those Cedar Creek researchers involved in the design of a study and the collection of the data as I analyze the data. Moreover, I realize that this computer data set is not complete, and it may contain errors. The complete data set includes extensive written documentation, which should be referenced to reduce the chance of errors in data and errors of interpretation.

_________________________________________________________________________



The purpose of this experiment is to determine the influences of natural enemies, including plant pathogenic fungi and insect pests, influence plant community composition, productivity, and diversity over time. The experiment is being conducted in a subset of plots within the Big Biodiversity field, including monoculture, 2-species, 4-species, 8-species, 16-species, and 32-species plots. There are 5 different treatments: foliar fungicide, soil drench fungicide, foliar insecticide, the combination of all pesticides, and nontreated control. The pesticides are applied repeatedly throughout the growing season. Within the plots, community productivity, species composition, percent cover, and pest damage are being quantified over time.

_________________________________________________________________________

METHODS AND PROTOCOLS FOLLOW DATA


Experiment Investigators:

Kinkel, Linda 
Borer, Elizabeth 
Seabloom, Eric 
 

ATTRIBUTES:

Field 1 | Name: Year | Definition: Year 
Field 2 | Name: Date | Definition: Date 
Field 3 | Name: Plot | Definition: Plot Identifier 
Field 4 | Name: Treatment | Definition: Treatment Type 
Field 5 | Name: Species | Definition: Species 
Field 6 | Name: Mass g/m^2 | Definition: Mass g/m^2 | Unit: gramsPerMeterSquared 


Data:

Year	Date	Plot	Treatment	Species	Mass g/m^2)
2007	10/5/2007	1	AllPesticides	Agropyron repens	1.1
2007	10/5/2007	1	AllPesticides	Aristida basiramea	9.6
2007	10/5/2007	1	AllPesticides	Bouteloua gracilis	0.3
2007	10/5/2007	1	AllPesticides	Cyperus sp.	0.6
2007	10/5/2007	1	AllPesticides	Lespedeza capitata	54.2
2007	10/5/2007	1	AllPesticides	Schizachyrium scoparium	1.3
2007	10/2/2007	2	Insecticide	Agropyron repens	2.2
2007	10/2/2007	2	Insecticide	Agrostis scabra	20.5
2007	10/2/2007	2	Insecticide	Cyperus sp.	6
2007	10/2/2007	2	Insecticide	Lespedeza capitata	3.2
2007	10/16/2007	3	Control	Aristida basiramea	20.4
2007	10/16/2007	3	Control	Bouteloua gracilis	0.1
2007	10/16/2007	3	Control	Cyperus sp.	0.7
2007	10/16/2007	3	Control	Cyperus Tectorum	1.7
2007	10/16/2007	3	Control	Hedeoma hispida	0.4
2007	10/16/2007	3	Control	Lespedeza capitata	83.1
2007	10/16/2007	3	Control	Petalostemum purpureum	0.2
2007	10/16/2007	3	Control	Taraxicum officinalis	0.9
2007	10/5/2007	4	SoilDrenchFungicide	Aristida basiramea	12.5
2007	10/5/2007	4	SoilDrenchFungicide	Crepis tectorum	0.1
2007	10/5/2007	4	SoilDrenchFungicide	Cyperus sp.	1.1
2007	10/5/2007	4	SoilDrenchFungicide	Euphorbia glyptosperma	0.1
2007	10/5/2007	4	SoilDrenchFungicide	Lespedeza capitata	58.6
2007	10/5/2007	4	SoilDrenchFungicide	Panicum oligosanthes	2.1
2007	10/5/2007	4	SoilDrenchFungicide	Rumex acetosella	3.8
2007	10/5/2007	4	SoilDrenchFungicide	Schizachyrium scoparium	0.6
2007	10/5/2007	5	FoliarFungicide	Agrostis scabra	16.4
2007	10/5/2007	5	FoliarFungicide	Ambrosia artemisiifolia elatior	2.3
2007	10/5/2007	5	FoliarFungicide	Bouteloua gracilis	0.7
2007	10/5/2007	5	FoliarFungicide	Crepis tectorum	0.8
2007	10/5/2007	5	FoliarFungicide	Cyperus sp.	0.6
2007	10/5/2007	5	FoliarFungicide	Lespedeza capitata	81.8
2007	10/5/2007	5	FoliarFungicide	Poa pratensis	2.7
2007	10/5/2007	5	FoliarFungicide	Rumex acetosella	0.8
2007	10/5/2007	6	FoliarFungicide	Achillea millefolium(lanulosa)	0.7
2007	10/5/2007	6	FoliarFungicide	Andropogon gerardi	81.8
2007	10/5/2007	6	FoliarFungicide	Bouteloua gracilis	14.3
2007	10/5/2007	6	FoliarFungicide	Koeleria cristata	1.2
2007	10/5/2007	6	FoliarFungicide	Lespedeza capitata	9.5
2007	10/5/2007	6	FoliarFungicide	Lupinus perennis	65.8
2007	10/5/2007	6	FoliarFungicide	Panicum virgatum	1.5
2007	10/5/2007	6	FoliarFungicide	Petalostemum purpureum	20.5
2007	10/5/2007	6	FoliarFungicide	Petalostemum villosum	14.4
2007	10/5/2007	6	FoliarFungicide	Schizachyrium scoparium	70.3
2007	10/5/2007	6	FoliarFungicide	Solidago nemoralis	0.6
2007	10/5/2007	6	FoliarFungicide	Solidago rigida	60.2
2007	10/5/2007	6	FoliarFungicide	Sorghastrum nutans	18.5
2007	10/5/2007	7	Insecticide	Amorpha canescens	43.5
2007	10/16/2007	15	Control	Cyperus sp.	7.4
2007	10/16/2007	15	Control	Rumex acetosella	2.7
2007	10/16/2007	15	Control	Schizachyrium scoparium	7.2
2007	10/5/2007	20	AllPesticides	Amorpha canescens	15.1
2007	10/5/2007	20	AllPesticides	Andropogon gerardi	18.9
2007	10/5/2007	20	AllPesticides	Bouteloua gracilis	17.5
2007	10/5/2007	20	AllPesticides	Lespedeza capitata	1.6
2007	10/5/2007	20	AllPesticides	Lupinus perennis	35.3
2007	10/5/2007	20	AllPesticides	Panicum virgatum	0.8
2007	10/5/2007	20	AllPesticides	Petalostemum purpureum	21.9
2007	10/5/2007	20	AllPesticides	Schizachyrium scoparium	22
2007	10/5/2007	20	AllPesticides	Solidago rigida	0.4
2007	10/5/2007	20	AllPesticides	Sorghastrum nutans	6.5
2007	10/16/2007	19	Insecticide	Achillea millefolium(lanulosa)	0.6
2007	10/16/2007	19	Insecticide	Andropogon gerardi	0.8
2007	10/16/2007	19	Insecticide	Bouteloua gracilis	38.3
2007	10/16/2007	19	Insecticide	Coreopsis palmata	65.7
2007	10/16/2007	19	Insecticide	Lespedeza capitata	20.6
2007	10/16/2007	19	Insecticide	Liatris aspera	45.5
2007	10/16/2007	19	Insecticide	Lupinus perennis	20.5
2007	10/16/2007	19	Insecticide	Monarda fistulosa	1.1
2007	10/16/2007	19	Insecticide	Petalostemum purpureum	9.5
2007	10/16/2007	19	Insecticide	Schizachyrium scoparium	41.7
2007	10/16/2007	19	Insecticide	Solidago nemoralis	4.7
2007	10/16/2007	19	Insecticide	Sporobolus cryptandrus	0.8
2007	10/2/2007	18	SoilDrenchFungicide	Achillea millefolium(lanulosa)	1.4
2007	10/2/2007	18	SoilDrenchFungicide	Bouteloua gracilis	2.2
2007	10/2/2007	18	SoilDrenchFungicide	Coreopsis palmata	22.9
2007	10/2/2007	18	SoilDrenchFungicide	Cyperus sp.	2.6
2007	10/2/2007	18	SoilDrenchFungicide	Lespedeza capitata	1.7
2007	10/2/2007	18	SoilDrenchFungicide	Lupinus perennis	63.2
2007	10/2/2007	18	SoilDrenchFungicide	Petalostemum candidum	0.4
2007	10/2/2007	18	SoilDrenchFungicide	Petalostemum purpureum	1.5
2007	10/2/2007	18	SoilDrenchFungicide	Petalostemum villosum	3.5
2007	10/2/2007	18	SoilDrenchFungicide	Schizachyrium scoparium	8.7
2007	10/2/2007	18	SoilDrenchFungicide	Solidago rigida	14.9
2007	10/2/2007	17	Control	Achillea millefolium(lanulosa)	0.1
2007	10/2/2007	17	Control	Andropogon gerardi	29.2
2007	10/2/2007	17	Control	Bouteloua gracilis	38.7
2007	10/2/2007	17	Control	Lespedeza capitata	31.2
2007	10/2/2007	17	Control	Liatris aspera	25.2
2007	10/2/2007	17	Control	Lupinus perennis	11.5
2007	10/2/2007	17	Control	Panicum virgatum	0.7
2007	10/2/2007	17	Control	Petalostemum villosum	56.5
2007	10/2/2007	17	Control	Schizachyrium scoparium	18.2
2007	10/2/2007	17	Control	Sorghastrum nutans	1.5
2007	10/2/2007	16	FoliarFungicide	Achillea millefolium(lanulosa)	0.8
2007	10/2/2007	16	FoliarFungicide	Andropogon gerardi	7.7
2007	10/2/2007	16	FoliarFungicide	Bouteloua gracilis	23.7
2007	10/2/2007	16	FoliarFungicide	Lespedeza capitata	38.7
2007	10/2/2007	16	FoliarFungicide	Lupinus perennis	31.8
2007	10/2/2007	16	FoliarFungicide	Petalostemum candidum	7.6
2007	10/2/2007	16	FoliarFungicide	Petalostemum purpureum	1
2007	10/2/2007	16	FoliarFungicide	Poa pratensis	1.9
2007	10/2/2007	16	FoliarFungicide	Schizachyrium scoparium	24.2
2007	10/16/2007	25	Insecticide	Achillea millefolium(lanulosa)	0.2
2007	10/16/2007	25	Insecticide	Andropogon gerardi	61.8
2007	10/16/2007	25	Insecticide	Lespedeza capitata	7.6
2007	10/16/2007	25	Insecticide	Lupinus perennis	7.3
2007	10/16/2007	25	Insecticide	Panicum virgatum	1.9
2007	10/16/2007	25	Insecticide	Poa pratensis	2.4
2007	10/16/2007	25	Insecticide	Schizachyrium scoparium	6.7
2007	10/16/2007	25	Insecticide	Solidago rigida	5.3
2007	10/16/2007	25	Insecticide	Sorghastrum nutans	8.4
2007	10/2/2007	24	Control	Agropyron repens	2.5
2007	10/2/2007	24	Control	Andropogon gerardi	88.1
2007	10/2/2007	24	Control	Cyperus sp.	0.2
2007	10/2/2007	24	Control	Lespedeza capitata	17.9
2007	10/2/2007	24	Control	Lupinus perennis	13.3
2007	10/2/2007	24	Control	Monarda fistulosa	2.3
2007	10/2/2007	24	Control	Panicum virgatum	1
2007	10/2/2007	24	Control	Poa pratensis	19.5
2007	10/2/2007	24	Control	Schizachyrium scoparium	9.3
2007	10/2/2007	24	Control	Solidago rigida	0.2
2007	10/2/2007	24	Control	Sorghastrum nutans	4.9
2007	10/5/2007	23	AllPesticides	Agropyron repens	2.1
2007	10/5/2007	23	AllPesticides	Andropogon gerardi	193.8
2007	10/5/2007	23	AllPesticides	Lespedeza capitata	0.1
2007	10/5/2007	23	AllPesticides	Lupinus perennis	53.4
2007	10/5/2007	23	AllPesticides	Poa pratensis	19.5
2007	10/5/2007	23	AllPesticides	Schizachyrium scoparium	30.8
2007	10/5/2007	23	AllPesticides	Sorghastrum nutans	2.8
2007	10/16/2007	22	SoilDrenchFungicide	Agropyron repens	1.5
2007	10/16/2007	22	SoilDrenchFungicide	Andropogon gerardi	48.9
2007	10/16/2007	22	SoilDrenchFungicide	Lespedeza capitata	13.9
2007	10/16/2007	22	SoilDrenchFungicide	Liatris aspera	37.5
2007	10/16/2007	22	SoilDrenchFungicide	Lupinus perennis	29.6
2007	10/16/2007	22	SoilDrenchFungicide	Panicum virgatum	2.8
2007	10/16/2007	22	SoilDrenchFungicide	Poa pratensis	0.1
2007	10/16/2007	22	SoilDrenchFungicide	Schizachyrium scoparium	39.2
2007	10/16/2007	22	SoilDrenchFungicide	Sorghastrum nutans	5.9
2007	10/16/2007	21	FoliarFungicide	Andropogon gerardi	27.6
2007	10/16/2007	21	FoliarFungicide	Lupinus perennis	25.6
2007	10/16/2007	21	FoliarFungicide	Poa pratensis	9
2007	10/16/2007	21	FoliarFungicide	Schizachyrium scoparium	15.2
2007	10/16/2007	21	FoliarFungicide	Solidago rigida	3.1
2007	10/16/2007	21	FoliarFungicide	Sorghastrum nutans	2.3
2007	9/18/2007	30	FoliarFungicide	Achillea millefolium(lanulosa)	0.9
2007	9/18/2007	30	FoliarFungicide	Aristida basiramea	2.3
2007	9/18/2007	30	FoliarFungicide	Euphorbia glyptosperma	0.1
2007	9/18/2007	30	FoliarFungicide	Lespedeza capitata	0.1
2007	9/18/2007	30	FoliarFungicide	Lupinus perennis	10
2007	9/18/2007	30	FoliarFungicide	Schizachyrium scoparium	0.7
2007	10/16/2007	29	Control	Agropyron repens	3.1
2007	10/16/2007	29	Control	Aristida basiramea	0.7
2007	10/16/2007	29	Control	Cyperus sp.	4.7
2007	10/16/2007	29	Control	Euphorbia glyptosperma	1
2007	10/16/2007	29	Control	Lepidium densiflorum	0.1
2007	10/16/2007	29	Control	Lupinus perennis	17.1
2007	10/16/2007	29	Control	Sporobolus cryptandrus	0.4
2007	9/18/2007	28	Insecticide	Agropyron repens	25.6
2007	9/18/2007	28	Insecticide	Crepis tectorum	1.1
2007	9/18/2007	28	Insecticide	Cyperus sp.	1.4
2007	9/18/2007	28	Insecticide	Lupinus perennis	14.1
2007	9/18/2007	28	Insecticide	Taraxicum officinalis	0.2
2007	10/5/2007	27	SoilDrenchFungicide	Agropyron repens	38.7
2007	10/5/2007	27	SoilDrenchFungicide	Aristida basiramea	0.1
2007	10/5/2007	27	SoilDrenchFungicide	Cyperus sp.	0.4
2007	10/5/2007	27	SoilDrenchFungicide	Euphorbia glyptosperma	0.4
2007	10/5/2007	27	SoilDrenchFungicide	Lupinus perennis	59
2007	10/5/2007	27	SoilDrenchFungicide	Polygonum convolvulus	1.5
2007	10/5/2007	27	SoilDrenchFungicide	Rumex acetosella	1.5
2007	10/5/2007	27	SoilDrenchFungicide	Taraxicum officinalis	0.3
2007	9/18/2007	26	AllPesticides	Agropyron repens	15.9
2007	9/18/2007	26	AllPesticides	Ambrosia artemisiifolia elatior	9.8
2007	9/18/2007	26	AllPesticides	Aristida basiramea	0.6
2007	9/18/2007	26	AllPesticides	Cyperus sp.	0.3
2007	9/18/2007	26	AllPesticides	Euphorbia glyptosperma	0.3
2007	9/18/2007	26	AllPesticides	Lupinus perennis	26.9
2007	9/18/2007	26	AllPesticides	Taraxicum officinalis	0.1
2007	10/3/2007	31	SoilDrenchFungicide	Bouteloua gracilis	9.4
2007	10/3/2007	31	SoilDrenchFungicide	Lupinus perennis	9.1
2007	10/3/2007	31	SoilDrenchFungicide	Schizachyrium scoparium	42.9
2007	10/3/2007	31	SoilDrenchFungicide	Sorghastrum nutans	3.5
2007	10/16/2007	32	Control	Amorpha canescens	9.5
2007	10/16/2007	32	Control	Andropogon gerardi	9
2007	10/16/2007	32	Control	Bouteloua gracilis	9.9
2007	10/16/2007	32	Control	Lespedeza capitata	7.5
2007	10/16/2007	32	Control	Liatris aspera	8.8
2007	10/16/2007	32	Control	Petalostemum candidum	2.1
2007	10/16/2007	32	Control	Petalostemum purpureum	31.6
2007	10/16/2007	32	Control	Schizachyrium scoparium	52
2007	10/5/2007	33	FoliarFungicide	Andropogon gerardi	9
2007	10/5/2007	33	FoliarFungicide	Bouteloua gracilis	7.4
2007	10/5/2007	33	FoliarFungicide	Coreopsis palmata	58
2007	10/5/2007	33	FoliarFungicide	Lespedeza capitata	18.2
2007	10/5/2007	33	FoliarFungicide	Lupinus perennis	91.3
2007	10/5/2007	33	FoliarFungicide	Panicum virgatum	0.8
2007	10/5/2007	33	FoliarFungicide	Petalostemum purpureum	1.8
2007	10/5/2007	33	FoliarFungicide	Poa pratensis	3.5
2007	10/5/2007	33	FoliarFungicide	Schizachyrium scoparium	60
2007	10/5/2007	33	FoliarFungicide	Solidago rigida	1.6
2007	10/5/2007	33	FoliarFungicide	Sorghastrum nutans	6.9
2007	10/5/2007	34	AllPesticides	Amorpha canescens	1.2
2007	10/5/2007	34	AllPesticides	Andropogon gerardi	42.3
2007	10/5/2007	34	AllPesticides	Bouteloua gracilis	2.1
2007	10/5/2007	34	AllPesticides	Lespedeza capitata	9.9
2007	10/5/2007	34	AllPesticides	Lupinus perennis	8.7
2007	10/5/2007	34	AllPesticides	Poa pratensis	0.1
2007	10/5/2007	34	AllPesticides	Schizachyrium scoparium	93.5
2007	10/5/2007	34	AllPesticides	Sorghastrum nutans	0.9
2007	10/16/2007	35	Insecticide	Andropogon gerardi	32.7
2007	10/16/2007	35	Insecticide	Bouteloua gracilis	8.4
2007	10/16/2007	35	Insecticide	Coreopsis palmata	59.2
2007	10/16/2007	35	Insecticide	Lespedeza capitata	36.2
2007	10/16/2007	35	Insecticide	Liatris aspera	32.7
2007	10/16/2007	35	Insecticide	Lupinus perennis	16.8
2007	10/16/2007	35	Insecticide	Panicum virgatum	12.2
2007	10/16/2007	35	Insecticide	Petalostemum candidum	0.7
2007	10/16/2007	35	Insecticide	Petalostemum purpureum	1.1
2007	10/16/2007	35	Insecticide	Schizachyrium scoparium	61
2007	10/16/2007	35	Insecticide	Solidago nemoralis	16.2
2007	10/16/2007	35	Insecticide	Sorghastrum nutans	6.6
2007	10/16/2007	35	Insecticide	Sporobolus cryptandrus	5.6
2007	10/16/2007	36	AllPesticides	Amorpha canescens	284.2
2007	10/16/2007	36	AllPesticides	Andropogon gerardi	4.3
2007	10/16/2007	36	AllPesticides	Bouteloua gracilis	0.6
2007	10/16/2007	36	AllPesticides	Koeleria cristata	0.4
2007	10/16/2007	36	AllPesticides	Lupinus perennis	8.1
2007	10/16/2007	36	AllPesticides	Petalostemum purpureum	16.3
2007	10/16/2007	36	AllPesticides	Poa pratensis	11.3
2007	10/16/2007	36	AllPesticides	Schizachyrium scoparium	105.6
2007	10/16/2007	36	AllPesticides	Sorghastrum nutans	2.6
