"","Plot","Year","Subplot","Treatment","invsimpson_biomass"
"59",11,2009,"na","SoilDrenchFungicide",2.92603919179895
"60",12,2009,"na","Fenced",1.50263928489769
"61",13,2009,"na","AllPesticides",2.9831453975241
"62",14,2009,"na","Control",2.44419105085844
"63",15,2009,"na","FoliarFungicide",2.65071674654067
"64",16,2009,"na","Insecticide",2.46249195584933
"65",17,2009,"na","SoilDrenchFungicide",3.16452605362114
"66",18,2009,"na","Fenced",2.67847022769627
"67",19,2009,"na","Insecticide",3.01580734089847
"68",20,2009,"na","SoilDrenchFungicide",2.63323821990007
"69",21,2009,"na","Fenced",2.35807582461414
"70",22,2009,"na","FoliarFungicide",3.54061755946827
"71",23,2009,"na","AllPesticides",3.15865752195148
"72",24,2009,"na","Control",1.64234853567045
"73",25,2009,"na","Fenced",1.83141052085264
"74",26,2009,"na","FoliarFungicide",2.27566545960459
"75",27,2009,"na","SoilDrenchFungicide",2.80797050995394
"76",28,2009,"na","AllPesticides",3.02065059145291
"77",29,2009,"na","Control",3.30077058836077
"78",30,2009,"na","Insecticide",3.39997921858472
"79",31,2009,"na","SoilDrenchFungicide",1.68857537044538
"80",32,2009,"na","Control",2.30874135240597
"81",33,2009,"na","Fenced",1.66729341909946
"82",34,2009,"na","AllPesticides",2.42627497225935
"83",35,2009,"na","Insecticide",2.25309018652096
"84",36,2009,"na","FoliarFungicide",2.8390336617388
"85",37,2009,"na","Control",2.02776240959438
"86",38,2009,"na","Fenced",1.53157037267692
"87",39,2009,"na","FoliarFungicide",1.87052992183943
"88",40,2009,"na","Insecticide",2.59941850115706
"89",41,2009,"na","AllPesticides",3.05136078043344
"90",42,2009,"na","SoilDrenchFungicide",2.28511280998755
"91",43,2009,"na","Fenced",2.60937450804727
"92",44,2009,"na","AllPesticides",2.89471967507438
"93",45,2009,"na","Insecticide",2.55732121362187
"94",46,2009,"na","SoilDrenchFungicide",2.35259449784688
"95",47,2009,"na","Control",2.61418929596654
"96",48,2009,"na","FoliarFungicide",3.10335512617387
"97",1,2010,"na","Insecticide",2.97514570683205
"98",2,2010,"na","Control",2.46345488357246
"99",3,2010,"na","FoliarFungicide",2.04768349963556
"100",4,2010,"na","SoilDrenchFungicide",2.36160423446473
"101",5,2010,"na","AllPesticides",2.73640274336601
"102",6,2010,"na","Fenced",1.70071468052216
"103",7,2010,"na","AllPesticides",5.16337232223071
"104",8,2010,"na","Control",2.19878536353685
"105",9,2010,"na","Insecticide",4.04579120000397
"106",10,2010,"na","FoliarFungicide",1.96504743132146
"107",11,2010,"na","SoilDrenchFungicide",1.67489697470965
"108",12,2010,"na","Fenced",1.97907765909566
"109",13,2010,"na","AllPesticides",2.7899407663425
"110",14,2010,"na","Control",3.63323538326135
"111",15,2010,"na","FoliarFungicide",3.94025829669642
"112",16,2010,"na","Insecticide",2.96277222033366
"113",17,2010,"na","SoilDrenchFungicide",1.90105633793933
"114",18,2010,"na","Fenced",2.15476618885094
"115",19,2010,"na","Insecticide",2.84092172485056
"116",20,2010,"na","SoilDrenchFungicide",3.04169406921678
"117",21,2010,"na","Fenced",3.89828998097532
"118",22,2010,"na","FoliarFungicide",6.25756978684628
"119",23,2010,"na","AllPesticides",5.00242652331946
"120",24,2010,"na","Control",4.19060588813685
"121",25,2010,"na","Fenced",2.86979423086837
"122",26,2010,"na","FoliarFungicide",3.15976654306806
"123",27,2010,"na","SoilDrenchFungicide",2.05216481064071
"124",28,2010,"na","AllPesticides",4.47818545514487
"125",29,2010,"na","Control",3.69781326579348
"126",30,2010,"na","Insecticide",2.50824917580389
"127",31,2010,"na","SoilDrenchFungicide",4.13061437778386
"128",32,2010,"na","Control",1.81151263953812
"129",33,2010,"na","Fenced",2.65616995694699
"130",34,2010,"na","AllPesticides",3.22893558380002
"131",35,2010,"na","Insecticide",2.7251172204043
"132",36,2010,"na","FoliarFungicide",2.95123409789074
"133",37,2010,"na","Control",2.08505928292168
"134",38,2010,"na","Fenced",2.65226748054705
"135",39,2010,"na","FoliarFungicide",2.19162798727127
"136",40,2010,"na","Insecticide",3.88845553046478
"137",41,2010,"na","AllPesticides",2.36132229225186
"138",42,2010,"na","SoilDrenchFungicide",1.76522240358561
"139",43,2010,"na","Fenced",3.01015396930616
"140",44,2010,"na","AllPesticides",4.21673561083051
"141",45,2010,"na","Insecticide",3.65360856458988
"142",46,2010,"na","SoilDrenchFungicide",1.85647787678859
"143",47,2010,"na","Control",2.51858489386485
"144",48,2010,"na","FoliarFungicide",4.34655103577182
"145",1,2011,"na","Insecticide",1.5144958521088
"146",2,2011,"na","Control",1.74708889416466
"147",3,2011,"na","FoliarFungicide",1.65897352005234
"148",4,2011,"na","SoilDrenchFungicide",2.49352516696367
"149",5,2011,"na","AllPesticides",2.303532999579
"150",6,2011,"na","Fenced",1.28621137675981
"151",7,2011,"na","AllPesticides",3.76691584062774
"152",8,2011,"na","Control",3.03675238629238
"153",9,2011,"na","Insecticide",1.91806638119638
"154",10,2011,"na","FoliarFungicide",3.91666680814724
"155",11,2011,"na","SoilDrenchFungicide",1.41318213671739
"156",12,2011,"na","Fenced",1.43825007258624
"157",13,2011,"na","AllPesticides",2.13755035000433
"158",14,2011,"na","Control",2.15484112998292
"159",15,2011,"na","FoliarFungicide",2.44558013585562
"160",16,2011,"na","Insecticide",1.57860318070431
"161",17,2011,"na","SoilDrenchFungicide",2.02061896355891
"162",18,2011,"na","Fenced",1.29641185499746
"163",19,2011,"na","Insecticide",2.97308516504591
"164",20,2011,"na","SoilDrenchFungicide",1.84501180139518
"165",21,2011,"na","Fenced",1.98589117025262
"166",22,2011,"na","FoliarFungicide",3.39381020680594
"167",23,2011,"na","AllPesticides",3.66418908874684
"168",24,2011,"na","Control",3.42189651046754
"169",25,2011,"na","Fenced",2.93729639614334
"170",26,2011,"na","FoliarFungicide",2.39039528505322
"171",27,2011,"na","SoilDrenchFungicide",2.03160431292785
"172",28,2011,"na","AllPesticides",2.26527593567819
"173",29,2011,"na","Control",2.06212533314409
"174",30,2011,"na","Insecticide",2.05492405920611
"175",31,2011,"na","SoilDrenchFungicide",3.12753866579376
"176",32,2011,"na","Control",2.35391049140161
"177",33,2011,"na","Fenced",1.55779502100095
"178",34,2011,"na","AllPesticides",2.80503641416661
"179",35,2011,"na","Insecticide",2.07126522669771
"180",36,2011,"na","FoliarFungicide",2.7426288041281
"181",37,2011,"na","Control",1.77450437867712
"182",38,2011,"na","Fenced",2.36434170428832
"183",39,2011,"na","FoliarFungicide",2.10326081664502
"184",40,2011,"na","Insecticide",2.73366386860266
"185",41,2011,"na","AllPesticides",1.57093017513603
"186",42,2011,"na","SoilDrenchFungicide",1.68965913320586
"187",43,2011,"na","Fenced",2.02094842618955
"188",44,2011,"na","AllPesticides",4.0588005639459
"189",45,2011,"na","Insecticide",2.9123637239942
"190",46,2011,"na","SoilDrenchFungicide",1.79922093257894
"191",47,2011,"na","Control",1.53213480732213
"192",48,2011,"na","FoliarFungicide",3.16376344214626
"193",1,2012,"na","Insecticide",1.56128363232927
"194",2,2012,"na","Control",1.47031503956502
"195",3,2012,"na","FoliarFungicide",2.57197872256837
"196",4,2012,"na","SoilDrenchFungicide",3.26478395956899
"197",5,2012,"na","AllPesticides",1.6720212625447
"198",6,2012,"na","Fenced",1.5203655136135
"199",7,2012,"na","AllPesticides",3.7501937999685
"200",8,2012,"na","Control",2.83223193918014
"201",9,2012,"na","Insecticide",3.18964011330591
"202",10,2012,"na","FoliarFungicide",2.41300842432679
"203",11,2012,"na","SoilDrenchFungicide",2.79293661676318
"204",12,2012,"na","Fenced",1.8706035490023
"205",13,2012,"na","AllPesticides",2.9334539044588
"206",14,2012,"na","Control",2.66032828837331
"207",15,2012,"na","FoliarFungicide",2.72076494110667
"208",16,2012,"na","Insecticide",1.61108274200784
"209",17,2012,"na","SoilDrenchFungicide",2.07771306766473
"210",18,2012,"na","Fenced",3.39673770376526
"211",19,2012,"na","Insecticide",2.33510821608779
"212",20,2012,"na","SoilDrenchFungicide",4.69009114152287
"213",21,2012,"na","Fenced",2.63783169064036
"214",22,2012,"na","FoliarFungicide",4.0408454521722
"215",23,2012,"na","AllPesticides",1.90162921662448
"216",24,2012,"na","Control",2.05153689834512
"217",25,2012,"na","Fenced",3.34714924537769
"218",26,2012,"na","FoliarFungicide",2.99313913995008
"219",27,2012,"na","SoilDrenchFungicide",3.47216138261632
"220",28,2012,"na","AllPesticides",2.54663516196608
"221",29,2012,"na","Control",2.56455576702625
"222",30,2012,"na","Insecticide",1.56991781185094
"223",31,2012,"na","SoilDrenchFungicide",4.96084038506147
"224",32,2012,"na","Control",1.35544263801192
"225",33,2012,"na","Fenced",2.52190915728661
"226",34,2012,"na","AllPesticides",3.8197477264842
"227",35,2012,"na","Insecticide",1.98577737230132
"228",36,2012,"na","FoliarFungicide",2.95290412390344
"229",37,2012,"na","Control",1.23945459518404
"230",38,2012,"na","Fenced",2.59362982664103
"231",39,2012,"na","FoliarFungicide",1.69648500510064
"232",40,2012,"na","Insecticide",2.39218815297231
"233",41,2012,"na","AllPesticides",2.63464909843705
"234",42,2012,"na","SoilDrenchFungicide",2.40532520999532
"235",43,2012,"na","Fenced",1.65156893196627
"236",44,2012,"na","AllPesticides",4.53411946938483
"237",45,2012,"na","Insecticide",4.18374057478541
"238",46,2012,"na","SoilDrenchFungicide",2.45437918324466
"239",47,2012,"na","Control",3.75777795440221
"240",48,2012,"na","FoliarFungicide",5.08143965120466
"241",1,2013,"na","Insecticide",1.56701925325148
"242",2,2013,"na","Control",1.7454856380193
"243",3,2013,"na","FoliarFungicide",2.27737152948624
"244",4,2013,"na","SoilDrenchFungicide",2.01469401330577
"245",5,2013,"na","AllPesticides",1.65948562147074
"246",6,2013,"na","Fenced",1.43714092429201
"247",7,2013,"na","AllPesticides",1.58140834577305
"248",8,2013,"na","Control",2.73198064558068
"249",9,2013,"na","Insecticide",2.68667082591591
"250",10,2013,"na","FoliarFungicide",1.7591940448034
"251",11,2013,"na","SoilDrenchFungicide",1.83549125311003
"252",12,2013,"na","Fenced",3.53893338655969
"253",13,2013,"na","AllPesticides",2.2182578643594
"254",14,2013,"na","Control",1.95842902750084
"255",15,2013,"na","FoliarFungicide",4.15601486841768
"256",16,2013,"na","Insecticide",2.38918728006512
"257",17,2013,"na","SoilDrenchFungicide",2.52361061886713
"258",18,2013,"na","Fenced",2.70940311370798
"259",19,2013,"na","Insecticide",3.55427889584104
"260",20,2013,"na","SoilDrenchFungicide",1.81807955903705
"261",21,2013,"na","Fenced",2.3514365862641
"262",22,2013,"na","FoliarFungicide",3.00916837295259
"263",23,2013,"na","AllPesticides",3.74419453687877
"264",24,2013,"na","Control",3.445838062419
"265",25,2013,"na","Fenced",2.30792937607893
"266",26,2013,"na","FoliarFungicide",3.68813728411494
"267",27,2013,"na","SoilDrenchFungicide",2.42549601691476
"268",28,2013,"na","AllPesticides",1.8880656221338
"269",29,2013,"na","Control",1.57573526861364
"270",30,2013,"na","Insecticide",1.87091070229943
"271",31,2013,"na","SoilDrenchFungicide",3.15902180363439
"272",32,2013,"na","Control",2.37344031034434
"273",33,2013,"na","Fenced",1.77578108552712
"274",34,2013,"na","AllPesticides",1.22006504233001
"275",35,2013,"na","Insecticide",3.32427408784259
"276",36,2013,"na","FoliarFungicide",3.09617520560429
"277",37,2013,"na","Control",2.2785588381963
"278",38,2013,"na","Fenced",1.95668729938559
"279",39,2013,"na","FoliarFungicide",2.11469723221311
"280",40,2013,"na","Insecticide",2.70857932999518
"281",41,2013,"na","AllPesticides",1.79950513928011
"282",42,2013,"na","SoilDrenchFungicide",3.05689702474804
"283",43,2013,"na","Fenced",2.15799676555436
"284",44,2013,"na","AllPesticides",2.91211617067519
"285",45,2013,"na","Insecticide",4.11171423243023
"286",46,2013,"na","SoilDrenchFungicide",3.21815288553773
"287",47,2013,"na","Control",2.26225866953237
"288",48,2013,"na","FoliarFungicide",3.6883417740602
"289",1,2014,"na","Insecticide",3.39192902087018
"290",2,2014,"na","Control",2.66252653651448
"291",3,2014,"na","FoliarFungicide",5.22893565928518
"292",4,2014,"na","SoilDrenchFungicide",3.19445506313164
"293",5,2014,"na","AllPesticides",3.5352284741149
"294",6,2014,"na","Fenced",3.22146069822232
"295",7,2014,"na","AllPesticides",4.24492367397131
"296",8,2014,"na","Control",2.39497559088278
"297",9,2014,"na","Insecticide",2.10612582971133
"298",10,2014,"na","FoliarFungicide",3.11498893969549
"299",11,2014,"na","SoilDrenchFungicide",3.02616671414453
"300",12,2014,"na","Fenced",3.92003602446756
"301",13,2014,"na","AllPesticides",3.70716339440477
"302",14,2014,"na","Control",4.90403742367828
"303",15,2014,"na","FoliarFungicide",4.8135472687675
"304",16,2014,"na","Insecticide",5.94912036565757
"305",17,2014,"na","SoilDrenchFungicide",2.97533082845242
"306",18,2014,"na","Fenced",3.43990939044481
"307",19,2014,"na","Insecticide",6.65377001113948
"308",20,2014,"na","SoilDrenchFungicide",5.72021373959259
"309",21,2014,"na","Fenced",3.6635655474612
"310",22,2014,"na","FoliarFungicide",4.01582585762488
"311",23,2014,"na","AllPesticides",2.87876091700901
"312",24,2014,"na","Control",3.36833894061746
"313",25,2014,"na","Fenced",2.89177210929408
"314",26,2014,"na","FoliarFungicide",2.4988186502081
"315",27,2014,"na","SoilDrenchFungicide",2.98865675432947
"316",28,2014,"na","AllPesticides",3.93466851932405
"317",29,2014,"na","Control",2.50032675489916
"318",30,2014,"na","Insecticide",2.80352458800846
"319",31,2014,"na","SoilDrenchFungicide",2.85156910617519
"320",32,2014,"na","Control",2.22876117904799
"321",33,2014,"na","Fenced",1.9711029086917
"322",34,2014,"na","AllPesticides",3.0189639514241
"323",35,2014,"na","Insecticide",3.87282736623058
"324",36,2014,"na","FoliarFungicide",2.74730434714443
"325",37,2014,"na","Control",2.44947158033074
"326",38,2014,"na","Fenced",3.92425781327531
"327",39,2014,"na","FoliarFungicide",5.23993725565328
"328",40,2014,"na","Insecticide",3.03357411161066
"329",41,2014,"na","AllPesticides",2.12040481581229
"330",42,2014,"na","SoilDrenchFungicide",2.69799542042393
"331",43,2014,"na","Fenced",2.30564053378452
"332",44,2014,"na","AllPesticides",4.54482525962019
"333",45,2014,"na","Insecticide",1.98384095380079
"334",46,2014,"na","SoilDrenchFungicide",2.33280249733826
"335",47,2014,"na","Control",5.53232121621841
"336",48,2014,"na","FoliarFungicide",4.6198573036286
"337",1,2015,"na","Insecticide",2.41986017092358
"338",2,2015,"na","Control",1.99290449565952
"339",3,2015,"na","FoliarFungicide",2.13114960514502
"340",4,2015,"na","SoilDrenchFungicide",1.47155522186286
"341",5,2015,"na","AllPesticides",2.44761520787989
"342",6,2015,"na","Fenced",2.0808953414745
"343",7,2015,"na","AllPesticides",2.76010926027931
"344",8,2015,"na","Control",4.75341726442218
"345",9,2015,"na","Insecticide",2.48259519690937
"346",10,2015,"na","FoliarFungicide",3.49391886322184
"347",11,2015,"na","SoilDrenchFungicide",2.55754596891161
"348",12,2015,"na","Fenced",3.63016919188371
"349",13,2015,"na","AllPesticides",2.22084354119927
"350",14,2015,"na","Control",2.50332623538216
"351",15,2015,"na","FoliarFungicide",5.30988380442974
"352",16,2015,"na","Insecticide",1.35305750019697
"353",17,2015,"na","SoilDrenchFungicide",4.03277647038705
"354",18,2015,"na","Fenced",5.11038626378982
"355",19,2015,"na","Insecticide",4.83277519259307
"356",20,2015,"na","SoilDrenchFungicide",5.77116275130832
"357",21,2015,"na","Fenced",2.3199117025069
"358",22,2015,"na","FoliarFungicide",4.09461290433231
"359",23,2015,"na","AllPesticides",4.58021038392678
"360",24,2015,"na","Control",3.44787233247971
"361",25,2015,"na","Fenced",3.25760479398304
"362",26,2015,"na","FoliarFungicide",3.39849282769407
"363",27,2015,"na","SoilDrenchFungicide",3.86369268934195
"364",28,2015,"na","AllPesticides",2.9262930725124
"365",29,2015,"na","Control",1.86872024663025
"366",30,2015,"na","Insecticide",2.31457737497015
"367",31,2015,"na","SoilDrenchFungicide",6.97115305444214
"368",32,2015,"na","Control",2.8541846031037
"369",33,2015,"na","Fenced",1.54701326569409
"370",34,2015,"na","AllPesticides",3.55861617817904
"371",35,2015,"na","Insecticide",4.41172104087163
"372",36,2015,"na","FoliarFungicide",2.33627379266881
"373",37,2015,"na","Control",4.34041221841957
"374",38,2015,"na","Fenced",2.03855290058274
"375",39,2015,"na","FoliarFungicide",1.80231369020325
"376",40,2015,"na","Insecticide",2.60953643489298
"377",41,2015,"na","AllPesticides",1.74427983370737
"378",42,2015,"na","SoilDrenchFungicide",3.464746898128
"379",43,2015,"na","Fenced",5.02208746259464
"380",44,2015,"na","AllPesticides",2.35717175227142
"381",45,2015,"na","Insecticide",3.88979324711973
"382",46,2015,"na","SoilDrenchFungicide",3.80289217831131
"383",47,2015,"na","Control",4.01861133452593
"384",48,2015,"na","FoliarFungicide",2.80689873463626
"385",1,2016,"na","Insecticide",3.11922701632973
"386",2,2016,"na","Control",2.77532213290697
"387",3,2016,"na","FoliarFungicide",1.86607683042848
"388",4,2016,"na","SoilDrenchFungicide",3.24441724721905
"389",5,2016,"na","AllPesticides",1.47577339445234
"390",6,2016,"na","Fenced",3.93993002308762
"391",7,2016,"na","AllPesticides",3.25816960263205
"392",8,2016,"na","Control",2.7531207835632
"393",9,2016,"na","Insecticide",5.79827924810624
"394",10,2016,"na","FoliarFungicide",2.51167973474296
"395",11,2016,"na","SoilDrenchFungicide",1.81435240515019
"396",12,2016,"na","Fenced",5.42677268117651
"397",13,2016,"na","AllPesticides",2.94595597875829
"398",14,2016,"na","Control",2.59255488345101
"399",15,2016,"na","FoliarFungicide",4.36569918921057
"400",16,2016,"na","Insecticide",4.32497113305028
"401",17,2016,"na","SoilDrenchFungicide",5.03617993984669
"402",18,2016,"na","Fenced",5.51259854318848
"403",19,2016,"na","Insecticide",5.92685067604447
"404",20,2016,"na","SoilDrenchFungicide",4.4998952233993
"405",21,2016,"na","Fenced",6.10494317037261
"406",22,2016,"na","FoliarFungicide",3.41084707198308
"407",23,2016,"na","AllPesticides",6.55657929679091
"408",24,2016,"na","Control",4.76461145397063
"409",25,2016,"na","Fenced",2.64411349847019
"410",26,2016,"na","FoliarFungicide",2.49411685848669
"411",27,2016,"na","SoilDrenchFungicide",4.46463063055228
"412",28,2016,"na","AllPesticides",4.0176022347102
"413",29,2016,"na","Control",6.27150549867273
"414",30,2016,"na","Insecticide",2.82744489329061
"415",31,2016,"na","SoilDrenchFungicide",4.08078589930249
"416",32,2016,"na","Control",3.28665875118297
"417",33,2016,"na","Fenced",4.01520128535974
"418",34,2016,"na","AllPesticides",1.90464958629319
"419",35,2016,"na","Insecticide",3.84979709483105
"420",36,2016,"na","FoliarFungicide",2.64240019155284
"421",37,2016,"na","Control",1.75720241040255
"422",38,2016,"na","Fenced",4.22883280267143
"423",39,2016,"na","FoliarFungicide",3.40830614311585
"424",40,2016,"na","Insecticide",2.05682275304289
"425",41,2016,"na","AllPesticides",2.17790623632875
"426",42,2016,"na","SoilDrenchFungicide",3.17320755619845
"427",43,2016,"na","Fenced",4.37756224308589
"428",44,2016,"na","AllPesticides",5.4771994158623
"429",45,2016,"na","Insecticide",6.40975538859714
"430",46,2016,"na","SoilDrenchFungicide",3.80562336758409
"431",47,2016,"na","Control",4.04139980997169
"432",48,2016,"na","FoliarFungicide",5.12108272704926
"433",1,2017,"na","Insecticide",1.74081295294559
"434",2,2017,"na","Control",2.76081856636319
"435",3,2017,"na","FoliarFungicide",3.9507773088456
"436",4,2017,"na","SoilDrenchFungicide",3.19784883838016
"437",5,2017,"na","AllPesticides",1.65044786349958
"438",6,2017,"na","Fenced",2.35375295008962
"439",7,2017,"na","AllPesticides",3.75226822153652
"440",8,2017,"na","Control",3.71316360470893
"441",9,2017,"na","Insecticide",5.47460111813408
"442",10,2017,"na","FoliarFungicide",2.39728856945283
"443",11,2017,"na","SoilDrenchFungicide",1.99317583801254
"444",12,2017,"na","Fenced",3.42158859363427
"445",13,2017,"na","AllPesticides",2.99070907489625
"446",14,2017,"na","Control",3.83238921070394
"447",15,2017,"na","FoliarFungicide",7.75915413317952
"448",16,2017,"na","Insecticide",2.64925963330259
"449",17,2017,"na","SoilDrenchFungicide",3.75310169946133
"450",18,2017,"na","Fenced",3.45282043365812
"451",19,2017,"na","Insecticide",4.09049200424812
"452",20,2017,"na","SoilDrenchFungicide",3.16528978971757
"453",21,2017,"na","Fenced",4.35932958622594
"454",22,2017,"na","FoliarFungicide",5.94637505821535
"455",23,2017,"na","AllPesticides",5.98121237557649
"456",24,2017,"na","Control",4.69332771630671
"457",25,2017,"na","Fenced",3.2099900520289
"458",26,2017,"na","FoliarFungicide",2.86057586629048
"459",27,2017,"na","SoilDrenchFungicide",3.0210004904847
"460",28,2017,"na","AllPesticides",2.61015100717036
"461",29,2017,"na","Control",2.78931326949225
"462",30,2017,"na","Insecticide",3.01214116787356
"463",31,2017,"na","SoilDrenchFungicide",4.17082359310002
"464",32,2017,"na","Control",4.07987266966652
"465",33,2017,"na","Fenced",2.6682322586477
"466",34,2017,"na","AllPesticides",2.99048837177697
"467",35,2017,"na","Insecticide",3.64378366085944
"468",36,2017,"na","FoliarFungicide",3.70008923439244
"469",37,2017,"na","Control",1.60049373155585
"470",38,2017,"na","Fenced",2.86215320819618
"471",39,2017,"na","FoliarFungicide",2.54850566854646
"472",40,2017,"na","Insecticide",2.12193331568978
"473",41,2017,"na","AllPesticides",1.58930610968818
"474",42,2017,"na","SoilDrenchFungicide",2.47190019253452
"475",43,2017,"na","Fenced",4.4695397794553
"476",44,2017,"na","AllPesticides",2.99003093878237
"477",45,2017,"na","Insecticide",2.77829416623785
"478",46,2017,"na","SoilDrenchFungicide",3.64124199409467
"479",47,2017,"na","Control",2.53469810130566
"480",48,2017,"na","FoliarFungicide",3.05271465879631
"481",1,2018,"na","Insecticide",3.61704079544623
"482",2,2018,"na","Control",2.86965237816948
"483",3,2018,"na","FoliarFungicide",4.13928600498642
"484",4,2018,"na","SoilDrenchFungicide",2.39555929335683
"485",5,2018,"na","AllPesticides",2.75648425289334
"486",6,2018,"na","Fenced",3.13610948187258
"487",7,2018,"na","AllPesticides",4.35123705711949
"488",8,2018,"na","Control",4.35160735382511
"489",9,2018,"na","Insecticide",8.81687778283286
"490",10,2018,"na","FoliarFungicide",2.79774694668985
"491",11,2018,"na","SoilDrenchFungicide",3.92580222403442
"492",12,2018,"na","Fenced",3.18792276472759
"493",13,2018,"na","AllPesticides",2.56619134539916
"494",14,2018,"na","Control",4.27446815660482
"495",15,2018,"na","FoliarFungicide",3.41550514700606
"496",16,2018,"na","Insecticide",3.47746694143912
"497",17,2018,"na","SoilDrenchFungicide",5.5285305251542
"498",18,2018,"na","Fenced",4.86247878551365
"499",19,2018,"na","Insecticide",3.64783812029469
"500",20,2018,"na","SoilDrenchFungicide",5.02962863173203
"501",21,2018,"na","Fenced",6.88631228369743
"502",22,2018,"na","FoliarFungicide",4.91923354834626
"503",23,2018,"na","AllPesticides",2.68274652201016
"504",24,2018,"na","Control",3.80362561836531
"505",25,2018,"na","Fenced",5.56105756271153
"506",26,2018,"na","FoliarFungicide",2.68629088785723
"507",27,2018,"na","SoilDrenchFungicide",2.56312945965683
"508",28,2018,"na","AllPesticides",4.26895925126325
"509",29,2018,"na","Control",3.16995707262674
"510",30,2018,"na","Insecticide",2.84364079447841
"511",31,2018,"na","SoilDrenchFungicide",3.80836458265651
"512",32,2018,"na","Control",1.61731577335727
"513",33,2018,"na","Fenced",2.41631876976912
"514",34,2018,"na","AllPesticides",2.64661186077595
"515",35,2018,"na","Insecticide",3.26497533861347
"516",36,2018,"na","FoliarFungicide",3.47645749779824
"517",37,2018,"na","Control",2.81917074681173
"518",38,2018,"na","Fenced",2.03644222779564
"519",39,2018,"na","FoliarFungicide",5.2798309950008
"520",40,2018,"na","Insecticide",3.51320270792031
"521",41,2018,"na","AllPesticides",1.82525124994834
"522",42,2018,"na","SoilDrenchFungicide",2.9728404434681
"523",43,2018,"na","Fenced",2.72568185574709
"524",44,2018,"na","AllPesticides",6.60797256702747
"525",45,2018,"na","Insecticide",3.05833402739444
"526",46,2018,"na","SoilDrenchFungicide",2.26121166705323
"527",47,2018,"na","Control",3.67513130213561
"528",48,2018,"na","FoliarFungicide",3.90520935146164
"529",1,2019,"East","Insecticide",4.49617839920066
"530",1,2019,"West","Insecticide",4.50748885604381
"531",2,2019,"East","Control",4.94173163842008
"532",2,2019,"West","Control",7.26552200257261
"533",3,2019,"East","FoliarFungicide",5.4733653239106
"534",3,2019,"West","FoliarFungicide",7.91181982587871
"535",4,2019,"East","SoilDrenchFungicide",3.66348118522941
"536",4,2019,"West","SoilDrenchFungicide",3.66083851907543
"537",5,2019,"East","AllPesticides",2.80748342620631
"538",5,2019,"West","AllPesticides",6.64695576652022
"539",6,2019,"East","Fenced",3.46029195638579
"540",6,2019,"West","Fenced",5.71072526681388
"541",7,2019,"East","AllPesticides",3.27919610603295
"542",7,2019,"West","AllPesticides",5.98309613946703
"543",8,2019,"East","Control",4.47663623287379
"544",8,2019,"West","Control",3.94367219974225
"545",9,2019,"East","Insecticide",4.501059559366
"546",9,2019,"West","Insecticide",5.82796374566972
"547",10,2019,"East","FoliarFungicide",2.39152996105
