"","Year","Date","BigBioPlot","PlantSpNum","Plot","Treatment","Species","Mass.g.m.2.","Planted"
"103",2010,"8/23/2010",29,1,1,"AllPesticides","Lespedeza capitata",123.2,"planted"
"104",2010,"8/23/2010",29,1,1,"AllPesticides","Rumex acetosella",7.6,"weed"
"105",2010,"8/23/2010",29,1,1,"AllPesticides","Taraxacum officinale",2,"weed"
"106",2013,"8/20/2013",29,1,1,"AllPesticides","Bouteloua gracilis",0.17,"weed"
"107",2012,"8/28/2012",29,1,1,"AllPesticides","Schizachyrium scoparium",0.7,"weed"
"108",2010,"8/23/2010",29,1,2,"Insecticide","Solidago rigida",0.6,"weed"
"109",2011,"8/26/2011",29,1,2,"Insecticide","Poa pratensis",0.3,"weed"
"110",2009,"8/17/2009",29,1,2,"Insecticide","Polygala polygama",0.2,"weed"
"111",2009,"8/17/2009",29,1,2,"Insecticide","Taraxacum officinale",0.8,"weed"
"112",2014,"8/14/2014",29,1,2,"Insecticide","Lespedeza capitata",14.3,"planted"
"113",2014,"8/14/2014",29,1,2,"Insecticide","Leptoloma cognatum",0.14,"weed"
"114",2014,"8/14/2014",29,1,2,"Insecticide","Rumex acetosella",3.9,"weed"
"115",2011,"8/26/2011",29,1,2,"Insecticide","Cyperus sp.",8.4,"weed"
"116",2012,"8/28/2012",29,1,2,"Insecticide","Achillea millefolium (lanulosa)",7.4,"weed"
"117",2009,"8/17/2009",29,1,2,"Insecticide","Hedeoma hispida",0.3,"weed"
"118",2011,"8/26/2011",29,1,2,"Insecticide","Euphorbia glyptosperma",0.4,"weed"
"119",2012,"8/28/2012",29,1,2,"Insecticide","Rumex acetosella",6.3,"weed"
"120",2011,"8/26/2011",29,1,2,"Insecticide","Bouteloua gracilis",2.6,"weed"
"121",2014,"8/14/2014",29,1,2,"Insecticide","Aristida basiramea",12.6,"weed"
"122",2009,"8/17/2009",29,1,2,"Insecticide","Agropyron repens",1.9,"weed"
"123",2009,"8/17/2009",29,1,2,"Insecticide","Euphorbia glyptosperma",0.06,"weed"
"124",2007,"10/2/2007",29,1,2,"Insecticide","Agropyron repens",2.2,"weed"
"125",2014,"8/14/2014",29,1,2,"Insecticide","Achillea millefolium (lanulosa)",0.42,"weed"
"126",2007,"10/2/2007",29,1,2,"Insecticide","Cyperus sp.",6,"weed"
"127",2024,NA,29,1,2,"Insecticide","Lespedeza capitata",79.1,"planted"
"128",2009,"8/17/2009",29,1,2,"Insecticide","Lespedeza capitata",4.7,"planted"
"129",2012,"8/28/2012",29,1,2,"Insecticide","Erigeron strigosus",1.2,"weed"
"130",2012,"8/28/2012",29,1,2,"Insecticide","Agrostis scabra",3.4,"weed"
"131",2011,"8/26/2011",29,1,2,"Insecticide","Rumex acetosella",7.2,"weed"
"132",2011,"8/26/2011",29,1,2,"Insecticide","Achillea millefolium (lanulosa)",1.8,"weed"
"133",2007,"10/2/2007",29,1,2,"Insecticide","Agrostis scabra",20.5,"weed"
"134",2014,"8/14/2014",29,1,2,"Insecticide","Crepis tectorum",2.6,"weed"
"135",2015,"8/24/2015",29,1,2,"Insecticide","Cyperus sp.",3.2,"weed"
"136",2012,"8/28/2012",29,1,2,"Insecticide","Lespedeza capitata",8.4,"planted"
"137",2010,"8/23/2010",29,1,2,"Insecticide","Miscellaneous litter",3.9,"weed"
"138",2024,NA,29,1,2,"Insecticide","32 species weeds",0,"weed"
"139",2021,NA,29,1,2,"Insecticide","Real weeds",55.9,"weed"
"140",2007,"10/2/2007",29,1,2,"Insecticide","Lespedeza capitata",3.2,"planted"
"141",2014,"8/14/2014",29,1,2,"Insecticide","Miscellaneous litter",5.2,"weed"
"142",2016,"8/1/2016",29,1,2,"Insecticide","Real weeds",8.75,"weed"
"143",2014,"8/14/2014",29,1,2,"Insecticide","Hedeoma hispida",0.14,"weed"
"144",2012,"8/28/2012",29,1,2,"Insecticide","Aristida basiramea",8.8,"weed"
"145",2009,"8/17/2009",29,1,2,"Insecticide","Aristida basiramea",10.1,"weed"
"146",2014,"8/14/2014",29,1,2,"Insecticide","Agropyron repens",6.4,"weed"
"147",2017,"8/1/2017",29,1,2,"Insecticide","Real weeds",39.6,"weed"
"148",2010,"8/23/2010",29,1,2,"Insecticide","Lespedeza capitata",61.5,"planted"
"149",2023,NA,29,1,2,"Insecticide","Real weeds",91.7,"weed"
"150",2009,"8/17/2009",29,1,2,"Insecticide","Polygonum convolvulus",0.4,"weed"
"151",2015,"8/24/2015",29,1,2,"Insecticide","Digitaria sp.",0.12,"weed"
"152",2024,NA,29,1,2,"Insecticide","Miscellaneous litter",0.63,"weed"
"153",2011,"8/26/2011",29,1,2,"Insecticide","Lupinus perennis",0.1,"weed"
"154",2011,"8/26/2011",29,1,2,"Insecticide","Lespedeza capitata",80.6,"planted"
"155",2023,NA,29,1,2,"Insecticide","Lespedeza capitata",31.7,"planted"
"156",2013,"8/20/2013",29,1,2,"Insecticide","Achillea millefolium (lanulosa)",0.06,"weed"
"157",2009,"8/17/2009",29,1,2,"Insecticide","Cyperus sp.",1.7,"weed"
"158",2009,"8/17/2009",29,1,2,"Insecticide","Schizachyrium scoparium",0.03,"weed"
"159",2015,"8/24/2015",29,1,2,"Insecticide","Poa pratensis",4.4,"weed"
"160",2015,"8/24/2015",29,1,2,"Insecticide","Schizachyrium scoparium",2.2,"weed"
"161",2010,"8/23/2010",29,1,2,"Insecticide","Erigeron canadensis",3.1,"weed"
"162",2010,"8/23/2010",29,1,2,"Insecticide","Agropyron repens",2.4,"weed"
"163",2012,"8/28/2012",29,1,2,"Insecticide","Euphorbia glyptosperma",1.8,"weed"
"164",2012,"8/28/2012",29,1,2,"Insecticide","Miscellaneous litter",1.3,"weed"
"165",2017,"8/1/2017",29,1,2,"Insecticide","Lespedeza capitata",35.2,"planted"
"166",2011,"8/26/2011",29,1,2,"Insecticide","Agropyron repens",0.3,"weed"
"167",2021,NA,29,1,2,"Insecticide","Lespedeza capitata",24.3,"planted"
"168",2018,"8/1/2018",29,1,2,"Insecticide","Real weeds",70.6,"weed"
"169",2023,NA,29,1,2,"Insecticide","Miscellaneous litter",0,"weed"
"170",2014,"8/14/2014",29,1,2,"Insecticide","Cyperus sp.",6.4,"weed"
"171",2009,"8/17/2009",29,1,2,"Insecticide","Lupinus perennis",1.7,"weed"
"172",2015,"8/24/2015",29,1,2,"Insecticide","Rumex acetosella",3,"weed"
"173",2012,"8/28/2012",29,1,2,"Insecticide","Cyperus sp.",2.8,"weed"
"174",2010,"8/23/2010",29,1,2,"Insecticide","Aristida basiramea",17.8,"weed"
"175",2015,"8/24/2015",29,1,2,"Insecticide","Agropyron repens",2,"weed"
"176",2010,"8/23/2010",29,1,2,"Insecticide","Taraxacum officinale",2.3,"weed"
"177",2015,"8/24/2015",29,1,2,"Insecticide","Aristida basiramea",84.3,"weed"
"178",2018,"8/1/2018",29,1,2,"Insecticide","Miscellaneous litter",4.8,"weed"
"179",2011,"8/26/2011",29,1,2,"Insecticide","Aristida basiramea",42.6,"weed"
"180",2013,"8/20/2013",29,1,2,"Insecticide","Miscellaneous litter",0.7,"weed"
"181",2016,"8/1/2016",29,1,2,"Insecticide","Miscellaneous litter",0,"weed"
"182",2015,"8/24/2015",29,1,2,"Insecticide","Physalis virginiana",0.14,"weed"
"183",2009,"8/17/2009",29,1,2,"Insecticide","Miscellaneous litter",3.2,"weed"
"184",2010,"8/23/2010",29,1,2,"Insecticide","Rumex acetosella",11.4,"weed"
"185",2013,"8/20/2013",29,1,2,"Insecticide","Aristida basiramea",14.6,"weed"
"186",2024,NA,29,1,2,"Insecticide","Real weeds",63.7,"weed"
"187",2015,"8/24/2015",29,1,2,"Insecticide","Vicia villosa",0.03,"weed"
"188",2015,"8/24/2015",29,1,2,"Insecticide","Lespedeza capitata",42.2,"planted"
"189",2010,"8/23/2010",29,1,2,"Insecticide","Achillea millefolium (lanulosa)",3.4,"weed"
"190",2018,"8/1/2018",29,1,2,"Insecticide","32 species weeds",8,"weed"
"191",2023,NA,29,1,2,"Insecticide","32 species weeds",0,"weed"
"192",2013,"8/20/2013",29,1,2,"Insecticide","Lespedeza capitata",49.7,"planted"
"193",2008,"10/28/2008",29,1,2,"Insecticide","Unsorted biomass",98.9,"weed"
"194",2013,"8/20/2013",29,1,2,"Insecticide","Agropyron repens",0.6,"weed"
"195",2013,"8/20/2013",29,1,2,"Insecticide","Rumex acetosella",5.7,"weed"
"196",2016,"8/1/2016",29,1,2,"Insecticide","32 species weeds",0,"weed"
"197",2016,"8/1/2016",29,1,2,"Insecticide","Lespedeza capitata",7.7,"planted"
"198",2017,"8/1/2017",29,1,2,"Insecticide","32 species weeds",22.4,"weed"
"199",2010,"8/23/2010",29,1,2,"Insecticide","Euphorbia glyptosperma",0.4,"weed"
"200",2010,"8/23/2010",29,1,2,"Insecticide","Cyperus filiculmis",4.3,"weed"
"201",2018,"8/1/2018",29,1,2,"Insecticide","Lespedeza capitata",46.3,"planted"
"202",2022,NA,29,1,2,"Insecticide","Lespedeza capitata",96.5,"planted"
"203",2021,NA,29,1,2,"Insecticide","Miscellaneous litter",35.2,"weed"
"204",2013,"8/20/2013",29,1,2,"Insecticide","Poa pratensis",1.46,"weed"
"205",2022,NA,29,1,2,"Insecticide","Real weeds",38.9,"weed"
"206",2012,"8/28/2012",29,1,2,"Insecticide","Taraxacum officinale",1.2,"weed"
"207",2007,"10/16/2007",29,1,3,"Control","Cyperus sp.",0.7,"weed"
"208",2007,"10/16/2007",29,1,3,"Control","Taraxacum officinale",0.9,"weed"
"209",2007,"10/16/2007",29,1,3,"Control","Aristida basiramea",20.4,"weed"
"210",2007,"10/16/2007",29,1,3,"Control","Bouteloua gracilis",0.1,"weed"
"211",2007,"10/16/2007",29,1,3,"Control","Cyperus tectorum",1.7,"weed"
"212",2007,"10/16/2007",29,1,3,"Control","Hedeoma hispida",0.4,"weed"
"213",2007,"10/16/2007",29,1,3,"Control","Lespedeza capitata",83.1,"planted"
"214",2007,"10/16/2007",29,1,3,"Control","Petalostemum purpureum",0.2,"weed"
"215",2021,NA,29,1,3,"Control","Real weeds",71.1,"weed"
"216",2014,"8/14/2014",29,1,3,"Control","Lespedeza capitata",91.4,"planted"
"217",2012,"8/28/2012",29,1,3,"Control","Cyperus sp.",0.6,"weed"
"218",2012,"8/28/2012",29,1,3,"Control","Taraxacum officinale",2.3,"weed"
"219",2015,"8/24/2015",29,1,3,"Control","Cyperus sp.",4.7,"weed"
"220",2015,"8/24/2015",29,1,3,"Control","Achillea millefolium (lanulosa)",0.39,"weed"
"221",2015,"8/24/2015",29,1,3,"Control","Taraxacum officinale",0.06,"weed"
"222",2015,"8/24/2015",29,1,3,"Control","Agropyron repens",1.6,"weed"
"223",2009,"8/17/2009",29,1,3,"Control","Cyperus sp.",0.7,"weed"
"224",2009,"8/17/2009",29,1,3,"Control","Achillea millefolium (lanulosa)",0.7,"weed"
"225",2014,"8/14/2014",29,1,3,"Control","Cyperus sp.",0.7,"weed"
"226",2014,"8/14/2014",29,1,3,"Control","Agropyron repens",5.3,"weed"
"227",2014,"8/14/2014",29,1,3,"Control","Aristida basiramea",3.4,"weed"
"228",2014,"8/14/2014",29,1,3,"Control","Crepis tectorum",1.5,"weed"
"229",2016,"8/1/2016",29,1,3,"Control","Miscellaneous litter",0,"weed"
"230",2014,"8/14/2014",29,1,3,"Control","Miscellaneous litter",5.6,"weed"
"231",2014,"8/14/2014",29,1,3,"Control","Physalis virginiana",0.33,"weed"
"232",2014,"8/14/2014",29,1,3,"Control","Poa pratensis",0.24,"weed"
"233",2014,"8/14/2014",29,1,3,"Control","Rumex acetosella",1.6,"weed"
"234",2008,"10/28/2008",29,1,3,"Control","Unsorted biomass",133.3,"weed"
"235",2014,"8/14/2014",29,1,3,"Control","Sporobolus cryptandrus",0.14,"weed"
"236",2013,"8/20/2013",29,1,3,"Control","Rumex acetosella",1.66,"weed"
"237",2013,"8/20/2013",29,1,3,"Control","Trifolium repens",0.02,"weed"
"238",2023,NA,29,1,3,"Control","Miscellaneous litter",4.19,"weed"
"239",2023,NA,29,1,3,"Control","Real weeds",100.6,"weed"
"240",2016,"8/1/2016",29,1,3,"Control","32 species weeds",0,"weed"
"241",2016,"8/1/2016",29,1,3,"Control","Lespedeza capitata",10.7,"planted"
"242",2015,"8/24/2015",29,1,3,"Control","Poa pratensis",2.6,"weed"
"243",2016,"8/1/2016",29,1,3,"Control","Real weeds",12.03,"weed"
"244",2022,NA,29,1,3,"Control","Real weeds",64,"weed"
"245",2017,"8/1/2017",29,1,3,"Control","Real weeds",47.2,"weed"
"246",2022,NA,29,1,3,"Control","Miscellaneous litter",25.5,"weed"
"247",2012,"8/28/2012",29,1,3,"Control","Aristida basiramea",23.9,"weed"
"248",2012,"8/28/2012",29,1,3,"Control","Digitaria sp.",0.19,"weed"
"249",2012,"8/28/2012",29,1,3,"Control","Euphorbia glyptosperma",0.06,"weed"
"250",2015,"8/24/2015",29,1,3,"Control","Aristida basiramea",19.1,"weed"
"251",2015,"8/24/2015",29,1,3,"Control","Crepis tectorum",0.18,"weed"
"252",2015,"8/24/2015",29,1,3,"Control","Euphorbia glyptosperma",12.4,"weed"
"253",2015,"8/24/2015",29,1,3,"Control","Lespedeza capitata",122.1,"planted"
"254",2021,NA,29,1,3,"Control","Lespedeza capitata",45.5,"planted"
"255",2012,"8/28/2012",29,1,3,"Control","Rumex acetosella",1,"weed"
"256",2015,"8/24/2015",29,1,3,"Control","Polygonum convolvulus",0.6,"weed"
"257",2013,"8/20/2013",29,1,3,"Control","Cyperus sp.",0.53,"weed"
"258",2013,"8/20/2013",29,1,3,"Control","Aristida basiramea",8.2,"weed"
"259",2012,"8/28/2012",29,1,3,"Control","Agropyron repens",5.8,"weed"
"260",2013,"8/20/2013",29,1,3,"Control","Lespedeza capitata",96.5,"planted"
"261",2013,"8/20/2013",29,1,3,"Control","Panicum oligosanthes",0.49,"weed"
"262",2013,"8/20/2013",29,1,3,"Control","Poa pratensis",1.52,"weed"
"263",2014,"8/14/2014",29,1,3,"Control","Silene antirrhina",1,"weed"
"264",2018,"8/1/2018",29,1,3,"Control","32 species weeds",2.8,"weed"
"265",2018,"8/1/2018",29,1,3,"Control","Lespedeza capitata",16.5,"planted"
"266",2018,"8/1/2018",29,1,3,"Control","Miscellaneous litter",9,"weed"
"267",2015,"8/24/2015",29,1,3,"Control","Miscellaneous litter",1.6,"weed"
"268",2009,"8/17/2009",29,1,3,"Control","Taraxacum officinale",0.2,"weed"
"269",2024,NA,29,1,3,"Control","32 species weeds",0,"weed"
"270",2024,NA,29,1,3,"Control","Lespedeza capitata",157.2,"planted"
"271",2024,NA,29,1,3,"Control","Miscellaneous litter",0,"weed"
"272",2013,"8/20/2013",29,1,3,"Control","Bouteloua curtipendula",0.87,"weed"
"273",2022,NA,29,1,3,"Control","Lespedeza capitata",135.7,"planted"
"274",2009,"8/17/2009",29,1,3,"Control","Rumex acetosella",3.7,"weed"
"275",2010,"8/23/2010",29,1,3,"Control","Rumex acetosella",9.8,"weed"
"276",2018,"8/1/2018",29,1,3,"Control","Real weeds",44,"weed"
"277",2012,"8/28/2012",29,1,3,"Control","Leptoloma cognatum",0.19,"weed"
"278",2012,"8/28/2012",29,1,3,"Control","Lespedeza capitata",23,"planted"
"279",2012,"8/28/2012",29,1,3,"Control","Miscellaneous litter",1.9,"weed"
"280",2011,"8/26/2011",29,1,3,"Control","Rumex acetosella",1.1,"weed"
"281",2011,"8/26/2011",29,1,3,"Control","Cyperus sp.",9.3,"weed"
"282",2011,"8/26/2011",29,1,3,"Control","Lespedeza capitata",130.4,"planted"
"283",2011,"8/26/2011",29,1,3,"Control","Poa pratensis",2.4,"weed"
"284",2010,"8/23/2010",29,1,3,"Control","Poa pratensis",0.4,"weed"
"285",2024,NA,29,1,3,"Control","Real weeds",47.7,"weed"
"286",2009,"8/17/2009",29,1,3,"Control","Poa pratensis",1.4,"weed"
"287",2010,"8/23/2010",29,1,3,"Control","Physalis virginiana",4.4,"weed"
"288",2023,NA,29,1,3,"Control","32 species weeds",0,"weed"
"289",2012,"8/28/2012",29,1,3,"Control","Physalis virginiana",0.7,"weed"
"290",2010,"8/23/2010",29,1,3,"Control","Schizachyrium scoparium",1.4,"weed"
"291",2015,"8/24/2015",29,1,3,"Control","Rumex acetosella",4.8,"weed"
"292",2009,"8/17/2009",29,1,3,"Control","Aristida basiramea",5.4,"weed"
"293",2009,"8/17/2009",29,1,3,"Control","Crepis tectorum",0.8,"weed"
"294",2011,"8/26/2011",29,1,3,"Control","Trifolium repens",1.9,"weed"
"295",2009,"8/17/2009",29,1,3,"Control","Agropyron repens",3,"weed"
"296",2010,"8/23/2010",29,1,3,"Control","Oxybaphus hirsutus",0.7,"weed"
"297",2010,"8/23/2010",29,1,3,"Control","Taraxacum officinale",2.6,"weed"
"298",2023,NA,29,1,3,"Control","Lespedeza capitata",63.5,"planted"
"299",2017,"8/1/2017",29,1,3,"Control","Lespedeza capitata",41.8,"planted"
"300",2010,"8/23/2010",29,1,3,"Control","Bouteloua gracilis",0.6,"weed"
"301",2010,"8/23/2010",29,1,3,"Control","Cyperus filiculmis",0.9,"weed"
"302",2010,"8/23/2010",29,1,3,"Control","Erigeron canadensis",4.5,"weed"
"303",2017,"8/1/2017",29,1,3,"Control","32 species weeds",1.25,"weed"
"304",2009,"8/17/2009",29,1,3,"Control","Miscellaneous litter",31.5,"weed"
"305",2010,"8/23/2010",29,1,3,"Control","Lespedeza capitata",196.8,"planted"
"306",2011,"8/26/2011",29,1,3,"Control","Achillea millefolium (lanulosa)",0.1,"weed"
"307",2010,"8/23/2010",29,1,3,"Control","Agrostis scabra",10.3,"weed"
"308",2009,"8/17/2009",29,1,3,"Control","Lespedeza capitata",99.5,"planted"
"309",2010,"8/23/2010",29,1,3,"Control","Hedeoma hispida",0.2,"weed"
"310",2011,"8/26/2011",29,1,3,"Control","Aristida basiramea",19.6,"weed"
"311",2011,"8/26/2011",29,1,3,"Control","Agropyron repens",11.7,"weed"
"312",2009,"8/17/2009",29,1,4,"SoilDrenchFungicide","Euphorbia glyptosperma",0.04,"weed"
"313",2010,"8/23/2010",29,1,4,"SoilDrenchFungicide","Cyperus schweinitzii",5.9,"weed"
"314",2009,"8/17/2009",29,1,4,"SoilDrenchFungicide","Aristida basiramea",4.1,"weed"
"315",2009,"8/17/2009",29,1,4,"SoilDrenchFungicide","Schizachyrium scoparium",0.1,"weed"
