"","Plot","Year","Treatment","invsimpson_biomass","BigBioPlot","NumSp"
"187",13,2013,"FoliarFungicide",1,69,1
"188",13,2015,"FoliarFungicide",1,69,1
"189",13,2010,"FoliarFungicide",1,69,1
"190",13,2024,"FoliarFungicide",1,69,1
"191",14,2009,"Insecticide",1,69,1
"192",14,2022,"Insecticide",1,69,1
"193",14,2024,"Insecticide",Inf,69,1
"194",14,2014,"Insecticide",1,69,1
"195",14,2018,"Insecticide",1,69,1
"196",14,2023,"Insecticide",Inf,69,1
"197",14,2007,"Insecticide",1,69,1
"198",14,2017,"Insecticide",1,69,1
"199",14,2012,"Insecticide",1,69,1
"200",14,2016,"Insecticide",Inf,69,1
"201",14,2013,"Insecticide",1,69,1
"202",14,2021,"Insecticide",1,69,1
"203",14,2011,"Insecticide",1,69,1
"204",14,2010,"Insecticide",1,69,1
"205",14,2015,"Insecticide",1,69,1
"206",15,2018,"Control",1,69,1
"207",15,2013,"Control",1,69,1
"208",15,2017,"Control",1,69,1
"209",15,2007,"Control",1,69,1
"210",15,2024,"Control",1,69,1
"211",15,2009,"Control",1,69,1
"212",15,2023,"Control",Inf,69,1
"213",15,2012,"Control",1,69,1
"214",15,2011,"Control",1,69,1
"215",15,2014,"Control",1,69,1
"216",15,2016,"Control",1,69,1
"217",15,2015,"Control",1,69,1
"218",16,2016,"FoliarFungicide",4.2013837522235,78,32
"219",16,2022,"FoliarFungicide",6.10150944397948,78,32
"220",16,2013,"FoliarFungicide",2.9914650762459,78,32
"221",16,2017,"FoliarFungicide",3.23966985175352,78,32
"222",16,2023,"FoliarFungicide",4.8569921900756,78,32
"223",16,2007,"FoliarFungicide",4.99628429878049,78,32
"224",16,2010,"FoliarFungicide",8.41922879312843,78,32
"225",16,2012,"FoliarFungicide",3.83431608955486,78,32
"226",16,2018,"FoliarFungicide",2.62640806082378,78,32
"227",16,2015,"FoliarFungicide",2.72175462037348,78,32
"228",16,2009,"FoliarFungicide",4.68858962704371,78,32
"229",16,2021,"FoliarFungicide",3.30345234949404,78,32
"230",16,2011,"FoliarFungicide",3.35238412420911,78,32
"231",16,2014,"FoliarFungicide",3.91270295891929,78,32
"232",16,2024,"FoliarFungicide",2.33526133351172,78,32
"233",17,2016,"Control",4.31860296292195,78,32
"234",17,2009,"Control",3.1579422758587,78,32
"235",17,2021,"Control",3.13093512249738,78,32
"236",17,2013,"Control",3.84102869630143,78,32
"237",17,2007,"Control",5.94486760400667,78,32
"238",17,2015,"Control",2.212710805636,78,32
"239",17,2022,"Control",3.87103615147209,78,32
"240",17,2011,"Control",4.65499310895446,78,32
"241",17,2010,"Control",5.57281759823363,78,32
"242",17,2023,"Control",3.23898927992062,78,32
"243",17,2012,"Control",4.18278474245235,78,32
"244",17,2018,"Control",2.92142823653912,78,32
"245",17,2014,"Control",4.02417793324321,78,32
"246",17,2017,"Control",2.87797314024837,78,32
"247",17,2024,"Control",4.01908580785716,78,32
"248",18,2007,"SoilDrenchFungicide",2.99464127089057,78,32
"249",18,2022,"SoilDrenchFungicide",2.90476377461654,78,32
"250",18,2011,"SoilDrenchFungicide",4.2724043025486,78,32
"251",18,2021,"SoilDrenchFungicide",4.44803340994996,78,32
"252",18,2009,"SoilDrenchFungicide",3.45444457955029,78,32
"253",18,2013,"SoilDrenchFungicide",2.71982615528463,78,32
"254",18,2015,"SoilDrenchFungicide",2.01074479784692,78,32
"255",18,2012,"SoilDrenchFungicide",3.60447428045118,78,32
"256",18,2023,"SoilDrenchFungicide",2.46409782006377,78,32
"257",18,2010,"SoilDrenchFungicide",4.73731732365595,78,32
"258",18,2017,"SoilDrenchFungicide",3.72312295559667,78,32
"259",18,2016,"SoilDrenchFungicide",2.8077616373518,78,32
"260",18,2018,"SoilDrenchFungicide",4.36573216123443,78,32
"261",18,2024,"SoilDrenchFungicide",2.72538649911675,78,32
"262",18,2014,"SoilDrenchFungicide",5.04237039271795,78,32
"263",19,2017,"Insecticide",3.87170613788561,78,32
"264",19,2009,"Insecticide",6.12729535882826,78,32
"265",19,2018,"Insecticide",5.77492228483925,78,32
"266",19,2015,"Insecticide",4.44852647441436,78,32
"267",19,2024,"Insecticide",2.90150405065111,78,32
"268",19,2007,"Insecticide",5.91339534813198,78,32
"269",19,2014,"Insecticide",5.17184416343834,78,32
"270",19,2013,"Insecticide",2.62986707560487,78,32
"271",19,2016,"Insecticide",5.58998470852293,78,32
"272",19,2022,"Insecticide",2.40520004191801,78,32
"273",19,2021,"Insecticide",1.87682250758181,78,32
"274",19,2023,"Insecticide",4.56029163279104,78,32
"275",19,2011,"Insecticide",5.12676174318338,78,32
"276",19,2010,"Insecticide",6.93444530098425,78,32
"277",19,2012,"Insecticide",3.97499410702992,78,32
"278",20,2012,"AllPesticides",5.01975508967341,78,32
"279",20,2015,"AllPesticides",3.58194749470332,78,32
"280",20,2018,"AllPesticides",1.96939267389998,78,32
"281",20,2022,"AllPesticides",3.94369490678955,78,32
"282",20,2016,"AllPesticides",4.43224289996776,78,32
"283",20,2017,"AllPesticides",3.06912779371263,78,32
"284",20,2009,"AllPesticides",5.66658489842852,78,32
"285",20,2011,"AllPesticides",4.30740731713262,78,32
"286",20,2010,"AllPesticides",3.34831231536852,78,32
"287",20,2024,"AllPesticides",5.02865227350766,78,32
"288",20,2007,"AllPesticides",6.22858922454064,78,32
"289",20,2023,"AllPesticides",2.91957367208387,78,32
"290",20,2021,"AllPesticides",2.0450906511257,78,32
"291",20,2014,"AllPesticides",2.9689146755285,78,32
"292",20,2013,"AllPesticides",1.9770908866247,78,32
"293",21,2021,"FoliarFungicide",3.49174619809927,82,16
"294",21,2010,"FoliarFungicide",4.28990443426187,82,16
"295",21,2009,"FoliarFungicide",5.53636772905147,82,16
"296",21,2018,"FoliarFungicide",1.82079635009261,82,16
"297",21,2016,"FoliarFungicide",3.34412710663576,82,16
"298",21,2023,"FoliarFungicide",1.9208311790551,82,16
"299",21,2015,"FoliarFungicide",5.11242633011715,82,16
"300",21,2014,"FoliarFungicide",4.33451653903067,82,16
"301",21,2017,"FoliarFungicide",4.45524623405941,82,16
"302",21,2022,"FoliarFungicide",2.41940774247616,82,16
"303",21,2011,"FoliarFungicide",4.23569153546946,82,16
"304",21,2013,"FoliarFungicide",5.29279912836767,82,16
"305",21,2024,"FoliarFungicide",2.18714836636881,82,16
"306",21,2007,"FoliarFungicide",3.93096567778631,82,16
"307",21,2012,"FoliarFungicide",4.17725431219203,82,16
"308",22,2010,"SoilDrenchFungicide",3.22320278418297,82,16
"309",22,2021,"SoilDrenchFungicide",2.50326444549698,82,16
"310",22,2023,"SoilDrenchFungicide",2.84719621257899,82,16
"311",22,2014,"SoilDrenchFungicide",2.51781730137062,82,16
"312",22,2018,"SoilDrenchFungicide",1.69001450128169,82,16
"313",22,2009,"SoilDrenchFungicide",3.21938290685352,82,16
"314",22,2016,"SoilDrenchFungicide",2.83115508351052,82,16
"315",22,2007,"SoilDrenchFungicide",4.90967603818105,82,16
"316",22,2022,"SoilDrenchFungicide",1.81567658353498,82,16
"317",22,2017,"SoilDrenchFungicide",2.62137220810485,82,16
"318",22,2012,"SoilDrenchFungicide",2.47361109928361,82,16
"319",22,2015,"SoilDrenchFungicide",4.05756481897086,82,16
"320",22,2024,"SoilDrenchFungicide",1.2839010600361,82,16
"321",22,2013,"SoilDrenchFungicide",3.50195726872148,82,16
"322",22,2011,"SoilDrenchFungicide",3.63627049180328,82,16
"323",23,2015,"AllPesticides",2.8237522108009,82,16
"324",23,2022,"AllPesticides",2.3551279320857,82,16
"325",23,2011,"AllPesticides",4.11657932569006,82,16
"326",23,2009,"AllPesticides",2.32964086202776,82,16
"327",23,2024,"AllPesticides",3.11500706329934,82,16
"328",23,2023,"AllPesticides",4.14284114592635,82,16
"329",23,2010,"AllPesticides",3.70760196322977,82,16
"330",23,2014,"AllPesticides",3.56263730220523,82,16
"331",23,2021,"AllPesticides",1.95259030610452,82,16
"332",23,2017,"AllPesticides",3.3146997862066,82,16
"333",23,2018,"AllPesticides",2.1379188180272,82,16
"334",23,2007,"AllPesticides",2.16160974485672,82,16
"335",23,2013,"AllPesticides",3.22998265315439,82,16
"336",23,2012,"AllPesticides",4.19195953423158,82,16
"337",23,2016,"AllPesticides",2.30127971277407,82,16
"338",24,2009,"Control",3.14585935298505,82,16
"339",24,2012,"Control",2.29355145043886,82,16
"340",24,2015,"Control",4.18478832681254,82,16
"341",24,2016,"Control",3.00604400407739,82,16
"342",24,2023,"Control",3.50741827800508,82,16
"343",24,2014,"Control",5.61728051542355,82,16
"344",24,2007,"Control",2.79719940292303,82,16
"345",24,2021,"Control",1.80801907071361,82,16
"346",24,2010,"Control",4.27475184438602,82,16
"347",24,2011,"Control",3.98070876756063,82,16
"348",24,2024,"Control",3.20219164117149,82,16
"349",24,2013,"Control",5.13469582338785,82,16
"350",24,2022,"Control",2.74731737181222,82,16
"351",24,2017,"Control",4.56305234241932,82,16
"352",24,2018,"Control",2.68515619912913,82,16
"353",25,2022,"Insecticide",3.36779304064523,82,16
"354",25,2024,"Insecticide",2.05544469535589,82,16
"355",25,2007,"Insecticide",2.52803166113185,82,16
"356",25,2014,"Insecticide",4.77977319095853,82,16
"357",25,2009,"Insecticide",4.12986454525908,82,16
"358",25,2021,"Insecticide",2.06558279974237,82,16
"359",25,2017,"Insecticide",3.81729475845619,82,16
"360",25,2015,"Insecticide",3.6661639218652,82,16
"361",25,2016,"Insecticide",4.65271645847938,82,16
"362",25,2012,"Insecticide",2.56156708271828,82,16
"363",25,2023,"Insecticide",2.90935846963879,82,16
"364",25,2013,"Insecticide",2.95564146730463,82,16
"365",25,2010,"Insecticide",3.65018632837636,82,16
"366",25,2011,"Insecticide",4.10898147361711,82,16
"367",25,2018,"Insecticide",2.76474584375093,82,16
"368",26,2010,"AllPesticides",1,83,1
"369",26,2018,"AllPesticides",1,83,1
"370",26,2022,"AllPesticides",1,83,1
"371",26,2014,"AllPesticides",1,83,1
"372",26,2024,"AllPesticides",1,83,1
"373",26,2016,"AllPesticides",1,83,1
"374",26,2007,"AllPesticides",1,83,1
"375",26,2015,"AllPesticides",1,83,1
"376",26,2021,"AllPesticides",1,83,1
"377",26,2017,"AllPesticides",1,83,1
"378",26,2009,"AllPesticides",1,83,1
"379",26,2011,"AllPesticides",1,83,1
"380",26,2023,"AllPesticides",1,83,1
"381",26,2012,"AllPesticides",1,83,1
"382",26,2013,"AllPesticides",1,83,1
"383",27,2009,"SoilDrenchFungicide",1,83,1
"384",27,2023,"SoilDrenchFungicide",1,83,1
"385",27,2021,"SoilDrenchFungicide",1,83,1
"386",27,2018,"SoilDrenchFungicide",Inf,83,1
"387",27,2013,"SoilDrenchFungicide",1,83,1
"388",27,2012,"SoilDrenchFungicide",1,83,1
"389",27,2024,"SoilDrenchFungicide",Inf,83,1
"390",27,2016,"SoilDrenchFungicide",Inf,83,1
"391",27,2011,"SoilDrenchFungicide",1,83,1
"392",27,2022,"SoilDrenchFungicide",1,83,1
"393",27,2007,"SoilDrenchFungicide",1,83,1
"394",27,2014,"SoilDrenchFungicide",1,83,1
"395",27,2010,"SoilDrenchFungicide",1,83,1
"396",27,2015,"SoilDrenchFungicide",1,83,1
"397",28,2007,"Insecticide",1,83,1
"398",28,2009,"Insecticide",1,83,1
"399",28,2013,"Insecticide",1,83,1
"400",28,2010,"Insecticide",1,83,1
"401",28,2014,"Insecticide",1,83,1
"402",28,2023,"Insecticide",Inf,83,1
"403",28,2024,"Insecticide",1,83,1
"404",28,2021,"Insecticide",1,83,1
"405",28,2018,"Insecticide",Inf,83,1
"406",28,2012,"Insecticide",1,83,1
"407",28,2022,"Insecticide",1,83,1
"408",28,2016,"Insecticide",Inf,83,1
"409",28,2011,"Insecticide",1,83,1
"410",28,2015,"Insecticide",1,83,1
"411",28,2017,"Insecticide",1,83,1
"412",29,2011,"Control",1,83,1
"413",29,2014,"Control",1,83,1
"414",29,2009,"Control",1,83,1
"415",29,2018,"Control",1,83,1
"416",29,2016,"Control",1,83,1
"417",29,2012,"Control",1,83,1
"418",29,2017,"Control",1,83,1
"419",29,2021,"Control",1,83,1
"420",29,2007,"Control",1,83,1
"421",29,2023,"Control",Inf,83,1
"422",29,2013,"Control",1,83,1
"423",29,2010,"Control",1,83,1
"424",29,2024,"Control",1,83,1
"425",30,2024,"FoliarFungicide",1,83,1
"426",30,2023,"FoliarFungicide",1,83,1
"427",30,2015,"FoliarFungicide",1,83,1
"428",30,2009,"FoliarFungicide",1,83,1
"429",30,2011,"FoliarFungicide",1,83,1
"430",30,2022,"FoliarFungicide",1,83,1
"431",30,2018,"FoliarFungicide",1,83,1
"432",30,2010,"FoliarFungicide",1,83,1
"433",30,2012,"FoliarFungicide",1,83,1
"434",30,2013,"FoliarFungicide",1,83,1
"435",30,2014,"FoliarFungicide",1,83,1
"436",30,2021,"FoliarFungicide",1,83,1
"437",30,2016,"FoliarFungicide",1,83,1
"438",30,2007,"FoliarFungicide",1,83,1
"439",30,2017,"FoliarFungicide",1,83,1
"440",31,2010,"SoilDrenchFungicide",3.52617091741636,105,32
"441",31,2014,"SoilDrenchFungicide",4.29951447170915,105,32
"442",31,2015,"SoilDrenchFungicide",2.80047413159241,105,32
"443",31,2011,"SoilDrenchFungicide",5.61057752969507,105,32
"444",31,2009,"SoilDrenchFungicide",1.93275319135987,105,32
"445",31,2007,"SoilDrenchFungicide",2.08120741366617,105,32
"446",31,2018,"SoilDrenchFungicide",3.91325303913675,105,32
"447",31,2024,"SoilDrenchFungicide",4.92549938664429,105,32
"448",31,2021,"SoilDrenchFungicide",4.13249455684547,105,32
"449",31,2013,"SoilDrenchFungicide",3.2587531725319,105,32
"450",31,2016,"SoilDrenchFungicide",7.38191810007349,105,32
"451",31,2017,"SoilDrenchFungicide",3.88510621023874,105,32
"452",31,2023,"SoilDrenchFungicide",7.42793141266247,105,32
"453",31,2022,"SoilDrenchFungicide",3.5788837502926,105,32
"454",31,2012,"SoilDrenchFungicide",5.08887352993889,105,32
"455",32,2009,"Control",5.36729775434499,105,32
"456",32,2014,"Control",4.62865408310863,105,32
"457",32,2016,"Control",2.75113759029676,105,32
"458",32,2013,"Control",3.28855355233224,105,32
"459",32,2010,"Control",2.77738834810525,105,32
"460",32,2018,"Control",3.26468842352859,105,32
"461",32,2007,"Control",4.13734573908981,105,32
"462",32,2015,"Control",3.65996921782933,105,32
"463",32,2023,"Control",3.8878092360163,105,32
"464",32,2012,"Control",2.88283514308989,105,32
"465",32,2021,"Control",3.47775232667196,105,32
"466",32,2017,"Control",5.24107194650505,105,32
"467",32,2011,"Control",4.42402403854534,105,32
"468",32,2024,"Control",3.80550710814469,105,32
"469",32,2022,"Control",5.7024964337435,105,32
"470",33,2010,"FoliarFungicide",6.05950488944544,105,32
"471",33,2023,"FoliarFungicide",2.56913015939708,105,32
"472",33,2015,"FoliarFungicide",4.24642078117726,105,32
"473",33,2017,"FoliarFungicide",3.54942469410192,105,32
"474",33,2016,"FoliarFungicide",2.79105333103127,105,32
"475",33,2011,"FoliarFungicide",4.99472206767545,105,32
"476",33,2013,"FoliarFungicide",3.21881490612575,105,32
"477",33,2009,"FoliarFungicide",4.62874066624633,105,32
"478",33,2021,"FoliarFungicide",4.03223019014022,105,32
"479",33,2014,"FoliarFungicide",2.05875609264344,105,32
"480",33,2012,"FoliarFungicide",4.15663316432671,105,32
"481",33,2024,"FoliarFungicide",5.28473373787965,105,32
"482",33,2018,"FoliarFungicide",4.09048698559718,105,32
"483",33,2022,"FoliarFungicide",3.56195654486636,105,32
"484",33,2007,"FoliarFungicide",4.22044414857838,105,32
"485",34,2024,"AllPesticides",2.7139996370289,105,32
"486",34,2010,"AllPesticides",3.18234812822486,105,32
"487",34,2018,"AllPesticides",5.76360385795118,105,32
"488",34,2023,"AllPesticides",4.44357795084506,105,32
"489",34,2016,"AllPesticides",3.28493270554426,105,32
"490",34,2014,"AllPesticides",6.41381985144067,105,32
"491",34,2011,"AllPesticides",3.91774914743383,105,32
"492",34,2015,"AllPesticides",3.42510282085084,105,32
"493",34,2013,"AllPesticides",2.28128744846574,105,32
"494",34,2022,"AllPesticides",4.28048933767494,105,32
"495",34,2012,"AllPesticides",1.74879848198909,105,32
"496",34,2007,"AllPesticides",2.35118573625059,105,32
"497",34,2009,"AllPesticides",4.78233560749847,105,32
"498",34,2021,"AllPesticides",1.78586354858065,105,32
"499",34,2017,"AllPesticides",4.20236680804363,105,32
"500",35,2024,"Insecticide",1.88735204619517,105,32
"501",35,2023,"Insecticide",2.78493334540212,105,32
"502",35,2022,"Insecticide",6.79431169537927,105,32
"503",35,2014,"Insecticide",4.38435112788813,105,32
"504",35,2012,"Insecticide",2.52716713199461,105,32
"505",35,2010,"Insecticide",2.95019028050497,105,32
"506",35,2015,"Insecticide",3.19033247115058,105,32
"507",35,2018,"Insecticide",5.34458918221967,105,32
"508",35,2009,"Insecticide",4.00393759119212,105,32
"509",35,2011,"Insecticide",3.02476926966483,105,32
"510",35,2017,"Insecticide",3.08093780089436,105,32
"511",35,2016,"Insecticide",4.0298356267593,105,32
"512",35,2013,"Insecticide",2.03514350586589,105,32
"513",35,2007,"Insecticide",7.27309958177599,105,32
"514",35,2021,"Insecticide",2.66738081013671,105,32
"515",36,2023,"AllPesticides",3.54720715208515,108,16
"516",36,2024,"AllPesticides",3.24547897726139,108,16
"517",36,2010,"AllPesticides",4.95965332074712,108,16
"518",36,2014,"AllPesticides",5.09381928641118,108,16
"519",36,2017,"AllPesticides",5.0910253321633,108,16
"520",36,2016,"AllPesticides",3.8037202358599,108,16
"521",36,2021,"AllPesticides",3.92319045686671,108,16
"522",36,2011,"AllPesticides",5.31603451576078,108,16
"523",36,2012,"AllPesticides",3.22988763548027,108,16
"524",36,2022,"AllPesticides",3.23147710955826,108,16
"525",36,2015,"AllPesticides",4.9062409018792,108,16
"526",36,2009,"AllPesticides",5.1209194303439,108,16
"527",36,2013,"AllPesticides",3.83898610669212,108,16
"528",36,2018,"AllPesticides",3.70864908945953,108,16
"529",36,2007,"AllPesticides",2.02710923820469,108,16
"530",37,2009,"Control",3.79006002081903,108,16
"531",37,2010,"Control",3.66436612298804,108,16
"532",37,2024,"Control",3.02263454336515,108,16
"533",37,2007,"Control",3.717002111649,108,16
"534",37,2018,"Control",4.40239767615828,108,16
"535",37,2014,"Control",3.36225049371911,108,16
"536",37,2021,"Control",3.06952041129967,108,16
