"","Species","Treatment","Year2","Year2.trend","SE","df","lower.CL","upper.CL","t.ratio","p.value","exp","Functional.group"
"21","Panicum oligosanthes","Fenced",9.07142857142857,0.0779685584307775,0.0214567211463548,209.45328688011,0.0356697521531235,0.120267364708432,3.6337592262564,0.00035140827713385,"Oldfield experiment","C3"
"22","Panicum oligosanthes","Control",9.07142857142857,0.0168778261250629,0.0199812727841226,170.943886809083,-0.0225639789381498,0.0563196311882756,0.844682233579947,0.399468898533179,"Oldfield experiment","C3"
"23","Panicum perlongum","SoilDrenchFungicide",9.07142857142857,-0.00778919171550531,0.0234350511193231,60.4241284064854,-0.0546595067354802,0.0390811233044696,-0.332373574772484,0.740757505523057,"Oldfield experiment","C3"
"24","Panicum perlongum","Control",9.07142857142857,-0.0014908443365441,0.0234350511193228,60.4241284064965,-0.0483611593565182,0.04537947068343,-0.0636160053141451,0.949485973490623,"Oldfield experiment","C3"
"25","Panicum perlongum","Insecticide",9.07142857142857,0.0193795466895143,0.022424598630291,51.1718856931278,-0.0256360422616932,0.0643951356407218,0.864209300198424,0.391505950774584,"Oldfield experiment","C3"
"26","Panicum perlongum","FoliarFungicide",9.07142857142857,0.032821441547804,0.0247181502263581,73.6115410224741,-0.0164348668812616,0.0820777499768697,1.327827578004,0.188337940571781,"Oldfield experiment","C3"
"27","Panicum perlongum","AllPesticides",9.07142857142857,0.00401924325850632,0.022424598630291,51.171885693128,-0.0409963456927011,0.0490348322097137,0.179233676587511,0.858462025394304,"Oldfield experiment","C3"
"28","Panicum perlongum","Fenced",9.07142857142857,0.00732163158438489,0.024718150226358,73.6115410224737,-0.0419346768446807,0.0565779400134505,0.296204672167479,0.767907840304758,"Oldfield experiment","C3"
"29","Panicum praecocious","Control",9.07142857142857,0.0252803872276955,0.0431891799374606,28.3293510807657,-0.063142323940241,0.113703098395632,0.585340755816673,0.562952670143361,"Oldfield experiment","C3"
"30","Panicum praecocious","Insecticide",9.07142857142857,0.06050823017371,0.0384262931965846,18.9401194625116,-0.0199361393941499,0.14095259974157,1.57465696376584,0.131891868211266,"Oldfield experiment","C3"
"31","Poa pratensis","SoilDrenchFungicide",9.07142857142857,-0.0701399395732381,0.025792574213875,14.2389418128547,-0.125372545356555,-0.0149073337899212,-2.7193850056078,0.0164152070394639,"Biodiversity experiment","C3"
"32","Poa pratensis","Control",9.07142857142857,-0.0549059058305018,0.0257925742138758,14.2389418128547,-0.110138511613821,0.000326699952816936,-2.1287485838061,0.0511964691518181,"Biodiversity experiment","C3"
"33","Poa pratensis","Insecticide",9.07142857142857,-0.0814404637251001,0.025792574213875,14.2389418128548,-0.136673069508417,-0.0262078579417832,-3.15751592104714,0.00686389414726014,"Biodiversity experiment","C3"
"34","Poa pratensis","FoliarFungicide",9.07142857142857,-0.0625460921045321,0.025792574213875,14.2389418128547,-0.117778697887849,-0.00731348632121517,-2.42496509211887,0.0291675550878879,"Biodiversity experiment","C3"
"35","Poa pratensis","FoliarFungicide",9.07142857142857,0.0361515828579119,0.0249462418848637,30.8107074130683,-0.0147392851487768,0.0870424508646006,1.44917952069755,0.157390060979235,"Oldfield experiment","C3"
"36","Poa pratensis","AllPesticides",9.07142857142857,-0.061348256265161,0.025792574213875,14.2389418128547,-0.116580862048478,-0.00611565048184403,-2.3785239796716,0.0318956583723828,"Biodiversity experiment","C3"
"37","Poa pratensis","SoilDrenchFungicide",9.07142857142857,0.0330208557010887,0.0249462418848637,30.8107074130683,-0.0178700123056,0.0839117237077774,1.32368057094501,0.19534715258555,"Oldfield experiment","C3"
"38","Poa pratensis","Control",9.07142857142857,-0.00128837345220432,0.0249462418848643,30.8107074130668,-0.0521792414588943,0.0496024945544856,-0.0516459937392824,0.959144160901764,"Oldfield experiment","C3"
"39","Poa pratensis","Insecticide",9.07142857142857,0.0164163018118176,0.0249462418848637,30.8107074130683,-0.0344745661948711,0.0673071698185063,0.658067130415274,0.51538224332412,"Oldfield experiment","C3"
"40","Poa pratensis","AllPesticides",9.07142857142857,0.0567579335790925,0.0249462418848637,30.8107074130682,0.00586706557240384,0.107648801585781,2.2752097827421,0.03000506727409,"Oldfield experiment","C3"
"41","Poa pratensis","Fenced",9.07142857142857,0.0936379794591517,0.0249462418848637,30.8107074130684,0.042747111452463,0.14452884746584,3.7535906166278,0.000725866130576183,"Oldfield experiment","C3"
"42","Andropogon gerardi","Control",9.07142857142857,-0.00692475222880284,0.0208608713540653,18.0492243029165,-0.0507432506216545,0.0368937461640488,-0.331949328063584,0.7437512108594,"Biodiversity experiment","C4"
"43","Andropogon gerardi","Insecticide",9.07142857142857,0.0118741715742486,0.0208608713540661,18.0492243029167,-0.0319443268186047,0.0556926699671019,0.569207842410384,0.57623083793823,"Biodiversity experiment","C4"
"44","Andropogon gerardi","FoliarFungicide",9.07142857142857,0.0348068217641408,0.0208608713540661,18.0492243029168,-0.00901167662871247,0.0786253201569941,1.66852195065938,0.112466334161758,"Biodiversity experiment","C4"
"45","Andropogon gerardi","SoilDrenchFungicide",9.07142857142857,0.0253093802111899,0.0208608713540661,18.0492243029167,-0.0185091181816634,0.0691278786040432,1.21324655052133,0.240675066197593,"Biodiversity experiment","C4"
"46","Andropogon gerardi","AllPesticides",9.07142857142857,0.0142029777067872,0.0208608713540661,18.0492243029168,-0.0296155206860661,0.0580214760996405,0.680842974664088,0.504612425970234,"Biodiversity experiment","C4"
"47","Aristida basiramea","FoliarFungicide",9.07142857142857,-0.0186559406543114,0.0260487241355273,61.3578628722004,-0.0707374404469166,0.0334255591382937,-0.716194027670898,0.476588617765306,"Oldfield experiment","C4"
"48","Aristida basiramea","AllPesticides",9.07142857142857,-0.0298973058132653,0.0260487241355273,61.3578628721996,-0.0819788056058705,0.02218419397934,-1.14774549639032,0.255529064310891,"Oldfield experiment","C4"
"49","Aristida basiramea","Fenced",9.07142857142857,-0.00592467580941979,0.0278765813194481,77.9043174394086,-0.0614237596758642,0.0495744080570246,-0.212532366918552,0.832246854150421,"Oldfield experiment","C4"
"50","Aristida basiramea","Insecticide",9.07142857142857,-0.00985612514184191,0.0278765813194481,77.9043174394107,-0.0653552090082864,0.0456429587246026,-0.353562907477674,0.724621501854039,"Oldfield experiment","C4"
"51","Aristida basiramea","Control",9.07142857142857,-0.0535992012254104,0.0260487241355269,61.3578628721802,-0.105680701018015,-0.00151770143280578,-2.05765168944718,0.0438792828993353,"Oldfield experiment","C4"
"52","Bouteloua curtipendula","Control",9.07142857142857,-0.0647815249010294,0.0241773203075415,94.3416506717873,-0.112783894835645,-0.0167791549664136,-2.67943362113718,0.00870215957770585,"Biodiversity experiment","C4"
"53","Bouteloua curtipendula","FoliarFungicide",9.07142857142857,-0.00658641808139059,0.0270310658607247,122.88,-0.060093274632074,0.0469204384692929,-0.243661057071391,0.807899662353857,"Biodiversity experiment","C4"
"54","Bouteloua curtipendula","SoilDrenchFungicide",9.07142857142857,-0.0300593045724435,0.0312127863023438,157.035143769969,-0.0917103546651036,0.0315917455202167,-0.963044576708817,0.337005777119031,"Biodiversity experiment","C4"
"55","Bouteloua curtipendula","AllPesticides",9.07142857142857,-0.00871020679293594,0.0270310658607247,122.88,-0.0622170633436194,0.0447966497577475,-0.322229498378441,0.747826405197581,"Biodiversity experiment","C4"
"56","Bouteloua gracilis","Control",9.07142857142857,-0.145291326367303,0.0301147852355267,21.8100014284591,-0.207777128416646,-0.0828055243179595,-4.82458450993371,8.24288438577681e-05,"Biodiversity experiment","C4"
"57","Bouteloua gracilis","Insecticide",9.07142857142857,-0.0848384649661627,0.0301147852355271,21.8100014284564,-0.147324267015507,-0.0223526629168182,-2.81716984871859,0.0100885750781589,"Biodiversity experiment","C4"
"58","Bouteloua gracilis","FoliarFungicide",9.07142857142857,-0.0616972389760583,0.0301147852355271,21.8100014284564,-0.124183041025403,0.00078856307328614,-2.04873581177901,0.0527102983167228,"Biodiversity experiment","C4"
"59","Bouteloua gracilis","SoilDrenchFungicide",9.07142857142857,-0.0644783554211685,0.0301147852355271,21.8100014284564,-0.126964157470513,-0.001992553371824,-2.1410863440295,0.0437003295864575,"Biodiversity experiment","C4"
"60","Bouteloua gracilis","AllPesticides",9.07142857142857,-0.100737964152205,0.0301147852355271,21.8100014284564,-0.16322376620155,-0.0382521621028609,-3.34513307547558,0.00295540907670446,"Biodiversity experiment","C4"
"61","Leptoloma cognatum","Control",9.07142857142857,0.0464672742863571,0.0318533975571019,12,-0.0229353169795473,0.115869865552262,1.4587854938569,0.170298275707068,"Oldfield experiment","C4"
"62","Panicum virgatum","AllPesticides",9.07142857142857,-0.0113861663518622,0.0152699008332315,25.9429707188891,-0.0427772555151694,0.0200049228114449,-0.745660792182935,0.462575482192312,"Biodiversity experiment","C4"
"63","Panicum virgatum","Insecticide",9.07142857142857,-0.0155448377274205,0.0154521440264929,27.1933293887131,-0.047239474754194,0.016149799299353,-1.0059987598335,0.323284441837405,"Biodiversity experiment","C4"
"64","Panicum virgatum","FoliarFungicide",9.07142857142857,-0.0229275401784462,0.0154521440264929,27.193329388713,-0.0546221772052197,0.0087670968483273,-1.48377727641787,0.149367260640778,"Biodiversity experiment","C4"
"65","Panicum virgatum","SoilDrenchFungicide",9.07142857142857,-0.0309218650437686,0.0156546318710816,28.6336094601411,-0.0629569871660418,0.00111325707850454,-1.97525341371265,0.0579500127907318,"Biodiversity experiment","C4"
"66","Panicum virgatum","Control",9.07142857142857,-0.0161029179260899,0.0156546318710815,28.6336094601416,-0.0481380400483629,0.0159322041961831,-1.02863600106985,0.312262097551145,"Biodiversity experiment","C4"
"67","Schizachyrium scoparium","Insecticide",9.07142857142857,-0.0343680127104154,0.0198902181499446,19.2834687940286,-0.0759573362600227,0.00722131083919197,-1.7278851569816,0.0999903945049838,"Biodiversity experiment","C4"
"68","Schizachyrium scoparium","AllPesticides",9.07142857142857,-0.0643015189714172,0.0198902181499446,19.2834687940286,-0.105890842521025,-0.0227121954218098,-3.23282120320014,0.00431779346130052,"Biodiversity experiment","C4"
"69","Schizachyrium scoparium","SoilDrenchFungicide",9.07142857142857,-0.0568200193178316,0.0198902181499446,19.2834687940286,-0.098409342867439,-0.0152306957682243,-2.85668155519902,0.00999235901574854,"Biodiversity experiment","C4"
"70","Schizachyrium scoparium","Control",9.07142857142857,-0.0442003827698278,0.0198902181499459,19.2834687940269,-0.085789706319438,-0.00261105922021751,-2.22221709367969,0.0384199184930264,"Biodiversity experiment","C4"
"71","Schizachyrium scoparium","FoliarFungicide",9.07142857142857,-0.0437417843257251,0.0198902181499446,19.2834687940286,-0.0853311078753325,-0.00215246077611779,-2.1991606123157,0.0402573187408969,"Biodiversity experiment","C4"
"72","Sorghastrum nutans","Insecticide",9.07142857142857,-0.010477770436407,0.0387507206015151,15.5894149581551,-0.0928018182979608,0.0718462774251468,-0.270389047578056,0.790407898667893,"Oldfield experiment","C4"
"73","Sorghastrum nutans","AllPesticides",9.07142857142857,-0.0377603686874804,0.0387507206015151,15.5894149581551,-0.120084416549034,0.0445636791740734,-0.974443006512865,0.344715550102049,"Oldfield experiment","C4"
"74","Sorghastrum nutans","FoliarFungicide",9.07142857142857,-0.0270225959789343,0.0387507206015151,15.5894149581551,-0.109346643840488,0.0553014518826195,-0.697344347652667,0.495856468773498,"Oldfield experiment","C4"
"75","Sorghastrum nutans","SoilDrenchFungicide",9.07142857142857,-0.0266002476020553,0.0387507206015151,15.589414958155,-0.108924295463609,0.0557238002594986,-0.686445237382636,0.50251554907085,"Oldfield experiment","C4"
"76","Sorghastrum nutans","Control",9.07142857142857,-0.0178116081683498,0.0387507206015165,15.589414958155,-0.100135656029907,0.064512439693207,-0.459645856692862,0.652115385243664,"Oldfield experiment","C4"
"77","Sorghastrum nutans","AllPesticides",9.07142857142857,0.048172418756096,0.0182872012067207,22.1625599043523,0.0102632067715108,0.0860816307406812,2.63421494692104,0.015095149031991,"Biodiversity experiment","C4"
"78","Sorghastrum nutans","Insecticide",9.07142857142857,0.0171025960525201,0.0182872012067207,22.1625599043524,-0.0208066159320651,0.0550118080371053,0.935222173102947,0.359753005029568,"Biodiversity experiment","C4"
"79","Sorghastrum nutans","Control",9.07142857142857,0.0166643900870023,0.01828720120672,22.1625599043529,-0.0212448218975814,0.054573602071586,0.911259732893333,0.371964199369322,"Biodiversity experiment","C4"
"80","Sorghastrum nutans","Fenced",9.07142857142857,-0.0407287819204186,0.0387507206015151,15.5894149581551,-0.123052829781972,0.0415952659411352,-1.05104579445746,0.309258128929923,"Oldfield experiment","C4"
"81","Sorghastrum nutans","FoliarFungicide",9.07142857142857,0.00798177918296648,0.0182872012067207,22.1625599043523,-0.0299274328016187,0.0458909911675517,0.436468057235195,0.666719758493347,"Biodiversity experiment","C4"
"82","Sorghastrum nutans","SoilDrenchFungicide",9.07142857142857,0.0189207815079474,0.0182872012067207,22.1625599043522,-0.0189884304766378,0.0568299934925326,1.03464610544089,0.311992676380353,"Biodiversity experiment","C4"
"83","Sporobolus cryptandrus","FoliarFungicide",9.07142857142857,-0.0204860797614659,0.0290478888736782,67.4625600727584,-0.0784586019622625,0.0374864424393307,-0.705251932440067,0.483081480694562,"Biodiversity experiment","C4"
"84","Sporobolus cryptandrus","SoilDrenchFungicide",9.07142857142857,-0.0667240524822147,0.0388696254514402,142.037693461059,-0.14356178015268,0.010113675188251,-1.71661166546544,0.0882300662765831,"Biodiversity experiment","C4"
"85","Sporobolus cryptandrus","AllPesticides",9.07142857142857,-0.0448964610860501,0.0326517354248864,95.4533906629988,-0.1097143806071,0.019921458435,-1.37500994975694,0.172347259363408,"Biodiversity experiment","C4"
"86","Sporobolus cryptandrus","Insecticide",9.07142857142857,-0.0181536356657256,0.0326517354248865,95.4533906629994,-0.0829715551867758,0.0466642838553245,-0.555977666408791,0.57952704470797,"Biodiversity experiment","C4"
"87","Sporobolus cryptandrus","Control",9.07142857142857,-0.104871199420023,0.0266526970694153,50.5960364784194,-0.15838909608582,-0.0513533027542258,-3.93473122614542,0.000254659263639903,"Biodiversity experiment","C4"
"88","Achillea millefolium (lanulosa)","Control",9.07142857142857,-0.00798961122462681,0.0160736811579052,36.4754645100714,-0.0405737992572368,0.0245945768079832,-0.497061696455106,0.622128507396722,"Biodiversity experiment","F"
"89","Achillea millefolium (lanulosa)","Insecticide",9.07142857142857,-0.0360940280693039,0.015802388091556,34.1103589397404,-0.068204517842141,-0.00398353829646686,-2.28408692788597,0.0287116330497624,"Biodiversity experiment","F"
"90","Achillea millefolium (lanulosa)","FoliarFungicide",9.07142857142857,-0.0139855363595538,0.0160736811579045,36.4754645100726,-0.0465697243921625,0.018598651673055,-0.870089198744379,0.389941829225794,"Biodiversity experiment","F"
"91","Achillea millefolium (lanulosa)","SoilDrenchFungicide",9.07142857142857,0.00202679194158107,0.0160736811579045,36.4754645100725,-0.0305573960910277,0.0346109799741898,0.126093825158673,0.900350145851037,"Biodiversity experiment","F"
"92","Achillea millefolium (lanulosa)","AllPesticides",9.07142857142857,-0.0377108046726677,0.0163782287299784,39.2682310050599,-0.0708316656498112,-0.00458994369552424,-2.30249591054023,0.0266917474827399,"Biodiversity experiment","F"
"93","Ambrosia artemisiifolia elatior","Fenced",9.07142857142857,-0.0235144687977049,0.02462335852389,40.3479410843951,-0.0732667678605513,0.0262378302651414,-0.954965943207575,0.345281740982635,"Oldfield experiment","F"
"94","Ambrosia artemisiifolia elatior","Control",9.07142857142857,-0.0601011465985713,0.0246233585238896,40.3479410843817,-0.109853445661417,-0.0103488475357252,-2.4408184017733,0.0191351091077756,"Oldfield experiment","F"
"95","Ambrosia artemisiifolia elatior","AllPesticides",9.07142857142857,-0.0253013935862121,0.02462335852389,40.3479410843947,-0.0750536926490585,0.0244509054766342,-1.0275362543117,0.310288928782976,"Oldfield experiment","F"
"96","Ambrosia artemisiifolia elatior","SoilDrenchFungicide",9.07142857142857,-0.0470016800555421,0.02462335852389,40.3479410843948,-0.0967539791183885,0.0027506190073042,-1.90882490745283,0.0634155083816603,"Oldfield experiment","F"
"97","Ambrosia artemisiifolia elatior","Insecticide",9.07142857142857,-0.0528283393704385,0.02462335852389,40.3479410843944,-0.102580638433285,-0.00307604030759217,-2.14545628774334,0.0379863001638736,"Oldfield experiment","F"
"98","Ambrosia artemisiifolia elatior","FoliarFungicide",9.07142857142857,-0.0426733210293145,0.02462335852389,40.3479410843947,-0.0924256200921609,0.00707897803353182,-1.73304226504732,0.090725911322662,"Oldfield experiment","F"
"99","Ambrosia coronopifolia","FoliarFungicide",9.07142857142857,0.0952093319490338,0.0327123830570756,19.2691341706344,0.0268061947488701,0.163612469149198,2.91049819827909,0.00887926241383709,"Oldfield experiment","F"
"100","Ambrosia coronopifolia","SoilDrenchFungicide",9.07142857142857,0.054171922487117,0.0327123830570755,19.2691341706342,-0.0142312147130467,0.122575059687281,1.65600660742446,0.113915383373234,"Oldfield experiment","F"
"101","Ambrosia coronopifolia","Fenced",9.07142857142857,0.0625558106747505,0.0327123830570755,19.2691341706342,-0.0058473265254132,0.130958947874914,1.91229757139995,0.0708212799365067,"Oldfield experiment","F"
"102","Ambrosia coronopifolia","AllPesticides",9.07142857142857,0.0610282036462163,0.0327123830570755,19.2691341706342,-0.00737493355394742,0.12943134084638,1.86559944409236,0.0773970649254863,"Oldfield experiment","F"
"103","Ambrosia coronopifolia","Insecticide",9.07142857142857,0.0348928049084075,0.0327123830570755,19.2691341706344,-0.0335103322917562,0.103295942108571,1.06665432620814,0.299310698577503,"Oldfield experiment","F"
"104","Ambrosia coronopifolia","Control",9.07142857142857,0.0419557551865145,0.0327123830570765,19.2691341706383,-0.0264473820136501,0.110358892386679,1.28256492696696,0.214859209192896,"Oldfield experiment","F"
"105","Anemone cylindrica","Control",9.07142857142857,-0.00155572405071977,0.0238392595560311,44.7374614915124,-0.0495782357794537,0.0464667876780142,-0.0652589081914749,0.948258607306065,"Oldfield experiment","F"
"106","Anemone cylindrica","Fenced",9.07142857142857,0.00782757208301346,0.0229364569629502,38.5722097994941,-0.0385822477358064,0.0542373919018333,0.341272067244628,0.734750916473253,"Oldfield experiment","F"
"107","Anemone cylindrica","FoliarFungicide",9.07142857142857,0.0405205283030217,0.0249923177610366,53.5200790820765,-0.00959634423858932,0.0906374008446326,1.62131934662714,0.110826523087197,"Oldfield experiment","F"
"108","Anemone cylindrica","Insecticide",9.07142857142857,0.00212934707235263,0.0229364569629502,38.5722097994942,-0.0442804727464673,0.0485391668911725,0.0928367914797047,0.926513749152504,"Oldfield experiment","F"
"109","Anemone cylindrica","SoilDrenchFungicide",9.07142857142857,0.00119524965938057,0.0238392595560318,44.7374614915145,-0.0468272620693547,0.0492177613881158,0.0501378684422333,0.960235709651042,"Oldfield experiment","F"
"110","Anemone cylindrica","AllPesticides",9.07142857142857,-0.0224090346868211,0.0319179495470818,127.423449413425,-0.085566878009791,0.0407488086361488,-0.702082527380583,0.483908166007347,"Oldfield experiment","F"
"111","Asclepias tuberosa","Control",9.07142857142857,0.0450781994051439,0.016889563796159,52.615355754988,0.0111962423711671,0.0789601564391206,2.66899725470682,0.0100933565558339,"Biodiversity experiment","F"
"112","Asclepias tuberosa","Insecticide",9.07142857142857,0.0256458285033396,0.0183462975185099,71.1610779733554,-0.0109342148607362,0.0622258718674154,1.39787488333628,0.166492978831759,"Biodiversity experiment","F"
"113","Asclepias tuberosa","FoliarFungicide",9.07142857142857,0.0176624295677143,0.0204266225793994,103.006898993707,-0.0228489263456031,0.0581737854810317,0.864676942997281,0.38922533223343,"Biodiversity experiment","F"
"114","Asclepias tuberosa","AllPesticides",9.07142857142857,0.0480913506593894,0.0237157207197168,162.331818920991,0.00126026296090713,0.0949224383578717,2.02782581342371,0.0442133350667736,"Biodiversity experiment","F"
"115","Aster azureus","Insecticide",9.07142857142857,0.0273560077273429,0.0360163114991899,150.331395348838,-0.0438075384334162,0.0985195538881019,0.759544955844746,0.44871604099023,"Oldfield experiment","F"
"116","Aster azureus","Control",9.07142857142857,0.0439334985609667,0.0254673780944046,90.7263157894697,-0.00665637544458882,0.0945233725665223,1.72508918657077,0.087916345062444,"Oldfield experiment","F"
"117","Aster azureus","Fenced",9.07142857142857,0.158024884679414,0.0294071951967165,120.405122235158,0.099802679984847,0.21624708937398,5.37368095196845,3.82947621664609e-07,"Oldfield experiment","F"
"118","Aster azureus","AllPesticides",9.07142857142857,-0.0164117905501975,0.0254673780944042,90.7263157894736,-0.0670016645557523,0.0341780834553572,-0.644424034910904,0.520926510282018,"Oldfield experiment","F"
"119","Coreopsis palmata","Control",9.07142857142857,0.0622721817884096,0.0216562237793453,56.7288935343657,0.0189018497489723,0.105642513827847,2.87548662328664,0.00567186170962334,"Biodiversity experiment","F"
"120","Coreopsis palmata","Insecticide",9.07142857142857,0.0151386777075074,0.021656223779345,56.7288935343642,-0.0282316543319291,0.058509009746944,0.69904512724634,0.487380107364241,"Biodiversity experiment","F"
"121","Coreopsis palmata","FoliarFungicide",9.07142857142857,0.121209561196904,0.0231425768426892,71.8225243904447,0.0750737297062134,0.167345392687595,5.23751361055518,1.55667661412631e-06,"Biodiversity experiment","F"
"122","Coreopsis palmata","SoilDrenchFungicide",9.07142857142857,0.0666868494314586,0.0231425768426893,71.822524390445,0.0205510179407679,0.112822680922149,2.88156543174772,0.0052145553833436,"Biodiversity experiment","F"
"123","Coreopsis palmata","AllPesticides",9.07142857142857,0.00532511438360825,0.0231425768426893,71.822524390445,-0.0408107171070825,0.051460945874299,0.230100322008457,0.818667918395434,"Biodiversity experiment","F"
"124","Erigeron canadensis","Fenced",9.07142857142857,0.0519418588330118,0.0257960372981412,55.2631258927808,0.000250976876443244,0.10363274078958,2.01355961121806,0.0489355882419276,"Oldfield experiment","F"
"125","Erigeron canadensis","SoilDrenchFungicide",9.07142857142857,0.0030912734023251,0.0209279504911254,26.4552659432348,-0.0398907437010359,0.0460732905056861,0.147710278827158,0.883691454003858,"Oldfield experiment","F"
"126","Helianthemum bicknellii","SoilDrenchFungicide",9.07142857142857,-0.00662327843874973,0.0282337473616871,63.5978818113153,-0.0630335419673897,0.0497869850898903,-0.234587295618344,0.815282689555114,"Oldfield experiment","F"
"127","Helianthemum bicknellii","AllPesticides",9.07142857142857,-0.00123861122145825,0.037418523244979,137.153888486321,-0.0752304272686507,0.0727532048257343,-0.0331015527616914,0.973641728104403,"Oldfield experiment","F"
"128","Helianthemum bicknellii","FoliarFungicide",9.07142857142857,-0.0117154848060477,0.0374185232449789,137.153888486322,-0.0857073008532401,0.0622763312411448,-0.313093189951576,0.754685462670214,"Oldfield experiment","F"
"129","Helianthemum bicknellii","Control",9.07142857142857,-0.00470120465433363,0.0315934321339217,90.1506683023395,-0.0674656428178804,0.0580632335092132,-0.14880322702534,0.882041262509023,"Oldfield experiment","F"
"130","Helianthemum bicknellii","Fenced",9.07142857142857,0.0179472345753469,0.0315934321339219,90.1506683023367,-0.0448172035882002,0.0807116727388941,0.568068530803179,0.571400639284698,"Oldfield experiment","F"
"131","Helianthemum bicknellii","Insecticide",9.07142857142857,0.0231145134220929,0.0282337473616871,63.5978818113153,-0.033295750106547,0.0795247769507328,0.818683865304366,0.416023959937619,"Oldfield experiment","F"
"132","Hieracium longipilum","Fenced",9.07142857142857,0.00469252190752255,0.0196446468216713,95.691534083185,-0.0343033980887726,0.0436884419038177,0.238870260693408,0.811717019072727,"Oldfield experiment","F"
"133","Hieracium longipilum","SoilDrenchFungicide",9.07142857142857,0.0589329381132469,0.0247012395829264,179.460000114752,0.0101906981598685,0.107675178066625,2.38582917733334,0.0180816445820317,"Oldfield experiment","F"
